gene_id	uniprot_accession	Gene.Ontology.IDs
g11666	Q96T58	GO:0000122; GO:0003677; GO:0003714; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0006357; GO:0007219; GO:0017053; GO:0031048; GO:0045892; GO:0050769; GO:0060816; GO:0061629; GO:0070062
g10392	Q04205	GO:0003779; GO:0004721; GO:0005737; GO:0005856; GO:0005925; GO:0009986; GO:0010761
g10393	NA	NA
g10394	Q04205	GO:0003779; GO:0004721; GO:0005737; GO:0005856; GO:0005925; GO:0009986; GO:0010761
g17620	O00418	GO:0002931; GO:0004672; GO:0004686; GO:0005509; GO:0005516; GO:0005524; GO:0005737; GO:0005829; GO:0006414; GO:0008135; GO:0014069; GO:0031037; GO:0031952; GO:0032869; GO:0043066; GO:0043197; GO:0045807; GO:0046777; GO:0051965; GO:0061003; GO:0071277; GO:0071320; GO:0071454; GO:0098978; GO:0140245; GO:1990416; GO:1990637
g17627	NA	NA
g17626	Q8TD57	GO:0003777; GO:0005524; GO:0005858; GO:0005874; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959; GO:0060285; GO:0060294; GO:0097729
g17628	Q8JHF2	GO:0000139; GO:0007219; GO:0007389; GO:0007399; GO:0008593; GO:0030154; GO:0031101; GO:0033829; GO:0045665; GO:0046872; GO:0055016
g3971	NA	NA
g6330	NA	NA
g13388	Q90023	GO:0004784; GO:0005507
g6339	Q5FWR0	GO:0000729; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0016887; GO:0035861; GO:0043130; GO:0140658
g2131	Q9CWZ7	GO:0005483; GO:0005794; GO:0006886; GO:0016192; GO:0019905; GO:0031201; GO:0043209; GO:0045202
g9704	Q29J90	GO:0004930; GO:0005886; GO:0007186; GO:0008366; GO:0048148
g2133	P58137	GO:0003986; GO:0004778; GO:0005739; GO:0005777; GO:0005782; GO:0006637; GO:0009062; GO:0016559; GO:0033882; GO:0043649; GO:0045225; GO:0047603; GO:0047617; GO:0047994; GO:0052689; GO:0052815; GO:0052816
g9702	Q03114	GO:0000307; GO:0001764; GO:0001934; GO:0001963; GO:0002039; GO:0004672; GO:0004674; GO:0004693; GO:0005176; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0006886; GO:0006887; GO:0006913; GO:0006915; GO:0006974; GO:0007005; GO:0007160; GO:0007409; GO:0007416; GO:0007519; GO:0008045; GO:0008092; GO:0008306; GO:0008542; GO:0014044; GO:0014069; GO:0016020; GO:0016301; GO:0016477; GO:0016533; GO:0019233; GO:0019901; GO:0021537; GO:0021549; GO:0021695; GO:0021697; GO:0021766; GO:0021819; GO:0021954; GO:0021987; GO:0022038; GO:0030027; GO:0030054; GO:0030175; GO:0030182; GO:0030334; GO:0030424; GO:0030425; GO:0030426; GO:0030517; GO:0030549; GO:0030866; GO:0030900; GO:0031175; GO:0031397; GO:0031594; GO:0031914; GO:0032801; GO:0034352; GO:0035173; GO:0035249; GO:0035418; GO:0042220; GO:0043005; GO:0043025; GO:0043113; GO:0043125; GO:0043204; GO:0043525; GO:0045055; GO:0045786; GO:0045861; GO:0045892; GO:0045956; GO:0046826; GO:0046875; GO:0048148; GO:0048167; GO:0048488; GO:0048489; GO:0048511; GO:0048675; GO:0048709; GO:0048812; GO:0048813; GO:0050321; GO:0051301; GO:0051402; GO:0051649; GO:0051879; GO:0051966; GO:0060078; GO:0060079; GO:0061001; GO:0070509; GO:0090314; GO:0098685; GO:0098793; GO:0098794; GO:0098978; GO:0099509; GO:0099533; GO:0106310; GO:1901387; GO:1903076; GO:1904646; GO:1905806
g9703	P18841	GO:0001996; GO:0004937; GO:0005634; GO:0005737; GO:0005886; GO:0005901; GO:0007200; GO:0007204; GO:0007267; GO:0019229; GO:0031965; GO:0043410; GO:0046982; GO:0055117; GO:0071880
g9701	Q00535	GO:0000226; GO:0000307; GO:0001764; GO:0001963; GO:0002039; GO:0004672; GO:0004674; GO:0004693; GO:0005176; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0006886; GO:0007160; GO:0007268; GO:0007409; GO:0007416; GO:0007519; GO:0008045; GO:0008542; GO:0014044; GO:0014069; GO:0016020; GO:0016079; GO:0016241; GO:0016301; GO:0016310; GO:0016533; GO:0018105; GO:0018107; GO:0019233; GO:0021697; GO:0021766; GO:0021819; GO:0021954; GO:0022038; GO:0030027; GO:0030054; GO:0030175; GO:0030182; GO:0030334; GO:0030424; GO:0030425; GO:0030426; GO:0030517; GO:0030549; GO:0031175; GO:0031397; GO:0031594; GO:0031914; GO:0032801; GO:0035249; GO:0035418; GO:0042981; GO:0043005; GO:0043025; GO:0043113; GO:0043125; GO:0043204; GO:0043525; GO:0045786; GO:0045861; GO:0045892; GO:0045956; GO:0046826; GO:0048148; GO:0048156; GO:0048167; GO:0048488; GO:0048489; GO:0048511; GO:0048675; GO:0048709; GO:0048813; GO:0050321; GO:0051301; GO:0051402; GO:0051726; GO:0051879; GO:0051966; GO:0060079; GO:0061001; GO:0070509; GO:0090314; GO:0098793; GO:0106310; GO:1903076; GO:1903421; GO:1904646
g2361	Q13951	GO:0000122; GO:0000209; GO:0001649; GO:0003713; GO:0005654; GO:0006357; GO:0006366; GO:0016020; GO:0016513; GO:0030098; GO:0030099; GO:0043371; GO:0043378; GO:0043565; GO:0045944; GO:0048469; GO:0060216
g2362	Q9WVM6	GO:0004222; GO:0005509; GO:0005615; GO:0008270; GO:0009953; GO:0016485; GO:0030154; GO:0048632
g15573	Q9CQT2	GO:0000381; GO:0003723; GO:0003727; GO:0005634; GO:0005654; GO:0051321; GO:0071889
g12705	Q5SNX7	GO:0004336; GO:0005764; GO:0006683
g15578	NA	NA
g14624	P22897	GO:0001618; GO:0004888; GO:0005537; GO:0005886; GO:0006898; GO:0009986; GO:0010008; GO:0038023; GO:0038024; GO:0071222; GO:0071346; GO:0071353
g14625	P61644	GO:0000139; GO:0003828; GO:0006486; GO:0006491; GO:0008373; GO:0009311; GO:0097503
g14622	Q9H330	GO:0016020
g14620	E1BD52	GO:0016020
g14621	NA	NA
g15391	Q9K7A0	GO:0006534; GO:0030170; GO:0031071
g13144	NA	NA
g13142	Q99P84	GO:0000139; GO:0004435; GO:0004629; GO:0005085; GO:0005829; GO:0005886; GO:0006651; GO:0007173; GO:0007186; GO:0007200; GO:0007265; GO:0010592; GO:0016042; GO:0019899; GO:0030027; GO:0031267; GO:0032835; GO:0035556; GO:0046488; GO:0046872; GO:0048015; GO:0051209
g1121	Q8BGQ6	GO:0046872
g19177	P48052	GO:0004180; GO:0004181; GO:0005576; GO:0005615; GO:0005773; GO:0006508; GO:0007039; GO:0008270
g19176	P00730	GO:0004181; GO:0005615; GO:0006508; GO:0006691; GO:0008270
g12704	Q9NYB5	GO:0005886; GO:0006811; GO:0008514; GO:0015125; GO:0015347; GO:0015349; GO:0015721; GO:0016323; GO:0043252; GO:0055085; GO:0070327; GO:0150104; GO:2000611
g6475	Q2VLG6	GO:0005576; GO:0006953; GO:0009897
g6474	Q9UGM3	GO:0005044; GO:0005576; GO:0005615; GO:0005737; GO:0006952; GO:0015031; GO:0030670; GO:0030855; GO:0031012; GO:0035375; GO:0038187; GO:0042589; GO:0043152; GO:0045087; GO:0048306; GO:0050829; GO:0050830; GO:0051607; GO:0070062
g6477	A7MB11	GO:0005737; GO:0005769; GO:0006886; GO:0006914; GO:0016020; GO:0034058
g6471	Q9Z2K9	GO:0000287; GO:0004450; GO:0005739; GO:0005777; GO:0005829; GO:0006097; GO:0006099; GO:0006102; GO:0006103; GO:0006739; GO:0051287
g23453	Q9V477	GO:0003401; GO:0005886; GO:0007165; GO:0016324; GO:0045087; GO:0048018; GO:0048935; GO:0060026; GO:0060049; GO:0061809
g23452	P55143	GO:0005737
g23451	P32297	GO:0005783; GO:0005794; GO:0005886; GO:0005892; GO:0006811; GO:0006940; GO:0007165; GO:0007171; GO:0007271; GO:0007399; GO:0007626; GO:0014056; GO:0014069; GO:0015276; GO:0015464; GO:0016020; GO:0016607; GO:0022848; GO:0030425; GO:0035094; GO:0035095; GO:0042166; GO:0042391; GO:0043005; GO:0043025; GO:0044853; GO:0045202; GO:0045211; GO:0048814; GO:0051899; GO:0060079; GO:0060084; GO:0095500; GO:1905144
g23454	P08953	GO:0002225; GO:0002229; GO:0002347; GO:0002804; GO:0004888; GO:0004896; GO:0005769; GO:0005886; GO:0007155; GO:0007416; GO:0007507; GO:0007526; GO:0008063; GO:0009597; GO:0009611; GO:0009897; GO:0009950; GO:0009986; GO:0016201; GO:0019955; GO:0030308; GO:0032154; GO:0035208; GO:0035212; GO:0038023; GO:0040015; GO:0042802; GO:0045087; GO:0045944; GO:0046627; GO:0046790; GO:0050830; GO:0061760; GO:0061809; GO:0070976; GO:1902875
g22507	NA	NA
g17398	NA	NA
g17394	P51910	GO:0000302; GO:0005615; GO:0005737; GO:0005783; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405
g8407	Q9ASR4	GO:0003824; GO:0046394
g8400	O36032	GO:0004602; GO:0005634; GO:0005737; GO:0005829; GO:0015038; GO:0034599
g8401	C0HBB2	GO:0005764; GO:0005765; GO:0016020; GO:0050821; GO:0061462
g20836	O75648	GO:0000049; GO:0002143; GO:0005524; GO:0005739; GO:0061708
g20837	P09215	GO:0001666; GO:0004672; GO:0004674; GO:0004697; GO:0004699; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005783; GO:0005829; GO:0005886; GO:0005911; GO:0006915; GO:0006974; GO:0006979; GO:0008047; GO:0009410; GO:0009612; GO:0009749; GO:0014070; GO:0016020; GO:0016064; GO:0016363; GO:0018105; GO:0019899; GO:0019901; GO:0023021; GO:0030837; GO:0032869; GO:0032930; GO:0032956; GO:0032963; GO:0034351; GO:0034599; GO:0034644; GO:0035307; GO:0035556; GO:0036019; GO:0042100; GO:0042119; GO:0042149; GO:0042307; GO:0042325; GO:0042542; GO:0042742; GO:0043065; GO:0043200; GO:0043410; GO:0043560; GO:0043687; GO:0045471; GO:0046326; GO:0046627; GO:0046872; GO:0048471; GO:0050732; GO:0051490; GO:0060326; GO:0070301; GO:0070779; GO:0070976; GO:0071447; GO:0090331; GO:0090398; GO:0099524; GO:0106310; GO:1904385; GO:2000303; GO:2000304; GO:2000753; GO:2000755; GO:2001235
g20833	Q4G017	GO:0005178; GO:0005737; GO:0005769; GO:0005829; GO:0005886; GO:0006006; GO:0006915; GO:0008217; GO:0016601; GO:0030036; GO:0030336; GO:0032228; GO:0035091; GO:0036158; GO:0042802; GO:0043014; GO:0045504; GO:0048243; GO:0055037
g24102	Q64620	GO:0000082; GO:0004722; GO:0005737; GO:0005739; GO:0005829; GO:0017018; GO:0045087; GO:0046872; GO:0160049
g24108	NA	NA
g2162	Q6GR45	GO:0003743; GO:0005730; GO:0005737; GO:0042256; GO:0042273; GO:0043023
g2164	Q1H9T6	GO:0000781; GO:0000976; GO:0000981; GO:0003691; GO:0005634; GO:0006357; GO:0010833; GO:0042802; GO:0043565; GO:0045893; GO:0046872
g3692	B2RY56	GO:0000381; GO:0003729; GO:0005737; GO:0006397; GO:0006915; GO:0008380; GO:0016607; GO:0042981
g3690	Q05481	GO:0000978; GO:0001227; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0008270; GO:0010526
g3696	O75899	GO:0004888; GO:0004965; GO:0005737; GO:0005886; GO:0007186; GO:0007193; GO:0007194; GO:0007214; GO:0007268; GO:0038039; GO:0043005; GO:0045211; GO:0046982; GO:0051932; GO:0150099; GO:1902710; GO:1902712
g4640	Q7M456	GO:0003723; GO:0005576; GO:0006401; GO:0033897
g5593	Q4R8Z2	GO:0003729; GO:0003735; GO:0006412; GO:0017148; GO:0022625; GO:0097452; GO:1901194
g15652	Q8T674	GO:0005524; GO:0016887; GO:0030587; GO:0042626; GO:0043190; GO:0140359
g3340	Q3U145	GO:0005783; GO:0016020; GO:0030316; GO:0045600; GO:0045668; GO:0045672; GO:0045780; GO:0051480; GO:0090090
g3344	P60522	GO:0000045; GO:0000139; GO:0000421; GO:0000422; GO:0005737; GO:0005776; GO:0005789; GO:0005794; GO:0006995; GO:0008429; GO:0015031; GO:0031410; GO:0031625; GO:0070972; GO:0097352; GO:1901799
g18227	Q6NYV5	GO:0000118; GO:0000122; GO:0001947; GO:0003677; GO:0003712; GO:0005730; GO:0006355; GO:0008270; GO:0010314; GO:0031491; GO:0032266; GO:0042393; GO:0044378; GO:0070273
g23789	Q8R3W5	GO:0003676; GO:0005730; GO:0006388; GO:0006397
g23788	Q9M622	GO:0000139; GO:0000976; GO:0005783; GO:0006886; GO:0032586; GO:0046872
g2909	Q1ZXJ0	GO:0005247; GO:0015108; GO:0030587; GO:0034707; GO:0043231
g7851	Q6GMK6	GO:0005886
g7855	NA	NA
g7857	P42577	GO:0004322; GO:0005737; GO:0006826; GO:0006880; GO:0008198; GO:0008199
g14983	Q8JIU7	GO:0005634; GO:0005737; GO:0005854; GO:0006612; GO:0015031; GO:0030239; GO:0051082; GO:0060216
g14988	NA	NA
g684	Q32LJ2	GO:0003924; GO:0005525; GO:0005794; GO:0006886; GO:0034067; GO:0043001
g6109	Q96JA1	GO:0005615; GO:0005886; GO:0007605; GO:0022405; GO:0031012; GO:0032474; GO:0060384
g535	Q8TAD2	GO:0005125; GO:0005615; GO:0006954; GO:0032725; GO:0032755; GO:0032757; GO:0042803; GO:0048018; GO:1900017; GO:1903707
g537	A9XE49	GO:0005125; GO:0005576
g536	Q8TAD2	GO:0005125; GO:0005615; GO:0006954; GO:0032725; GO:0032755; GO:0032757; GO:0042803; GO:0048018; GO:1900017; GO:1903707
g530	NA	NA
g13666	Q3UHB1	GO:0005739; GO:0005829; GO:0008253; GO:0043235; GO:0046872
g13665	Q8AWD1	GO:0005634; GO:0005829; GO:0005874; GO:0046890; GO:0051493; GO:2000197
g13668	NA	NA
g18191	Q5DTY9	GO:0008277; GO:0042734; GO:0042995; GO:0043235; GO:0045211; GO:0051260
g14478	P0C2W1	GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300
g19747	NA	NA
g19748	Q0VH32	GO:0003677; GO:0005634; GO:0046983
g947	NA	NA
g941	Q0GGW5	GO:0000287; GO:0001558; GO:0001944; GO:0002039; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006468; GO:0006470; GO:0006974; GO:0007165; GO:0009267; GO:0009410; GO:0010212; GO:0016020; GO:0019901; GO:0030010; GO:0030111; GO:0030295; GO:0030308; GO:0032147; GO:0042593; GO:0046777; GO:0072332; GO:0090090; GO:0106310; GO:1901610
g943	P70187	GO:0001675; GO:0007283; GO:0007286; GO:0007289; GO:0016020; GO:0022857; GO:0030382
g948	Q8TEK3	GO:0000077; GO:0003676; GO:0003677; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0006281; GO:0010467; GO:0031151; GO:0031507; GO:0032200; GO:0032259; GO:0032991; GO:0042054; GO:0043231; GO:0045944; GO:0046425; GO:0061629; GO:0140938; GO:0140956; GO:2000677
g949	P54731	GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0006915; GO:0007253; GO:0019901; GO:0019904; GO:0030155; GO:0031072; GO:0031334; GO:0031625; GO:0034098; GO:0036503; GO:0042176; GO:0043130; GO:0045732; GO:0045740; GO:0048471; GO:0051059; GO:1902043; GO:1990917
g1711	Q66JF3	GO:0004674; GO:0005524; GO:0006417; GO:0046872; GO:0106310
g22824	NA	NA
g22204	Q95V25	GO:0005249; GO:0006813; GO:0009410; GO:0015269; GO:0031430; GO:0034702; GO:0040011; GO:0043050; GO:0045202; GO:0045211; GO:0045214; GO:0046872; GO:0046928; GO:0048149; GO:0050804; GO:0055120; GO:0060072; GO:0071805
g8194	O14727	GO:0000166; GO:0001666; GO:0001822; GO:0001843; GO:0005524; GO:0005576; GO:0005634; GO:0005829; GO:0006915; GO:0006919; GO:0007399; GO:0007584; GO:0008635; GO:0008656; GO:0010659; GO:0030154; GO:0030900; GO:0031072; GO:0032991; GO:0034774; GO:0042802; GO:0042981; GO:0043065; GO:0043293; GO:0043531; GO:0051402; GO:0070059; GO:0070062; GO:0071560; GO:0072432; GO:0097193; GO:1902510; GO:1904813; GO:2001235
g8192	Q8BNX1	GO:0001618; GO:0002456; GO:0002710; GO:0005537; GO:0005886; GO:0006955; GO:0009897; GO:0030246; GO:0030247; GO:0033080; GO:0033088; GO:0042130; GO:0046633; GO:0046642; GO:0070061; GO:0097367; GO:0120274; GO:1903902
g8193	Q0VBY7	GO:0001671; GO:0005737; GO:0005856; GO:0008198; GO:0008270; GO:0017183; GO:0032781
g8198	NA	NA
g23550	Q5T8I3	
g9247	Q5QJU3	GO:0000139; GO:0001953; GO:0005794; GO:0006919; GO:0006974; GO:0008284; GO:0010506; GO:0017040; GO:0030149; GO:0030330; GO:0032526; GO:0033629; GO:0042981; GO:0046512; GO:0046514; GO:0046872; GO:0060049; GO:0071466; GO:0071633; GO:0102121
g8677	Q91175	GO:0004937; GO:0005886; GO:0007200; GO:0007204; GO:0007267; GO:0043410; GO:0071880
g8676	Q9W534	GO:0004930; GO:0005886; GO:0005919; GO:0007186; GO:0007419; GO:0008366; GO:0016020; GO:0019991; GO:0030866; GO:0035095; GO:0048148; GO:0048149; GO:0060857
g2738	Q80TC5	GO:0003677; GO:0005634; GO:0005654; GO:0006355
g21798	Q17QJ5	GO:0005886; GO:0051043
g21795	P48463	GO:0000278; GO:0000775; GO:0000922; GO:0004722; GO:0005634; GO:0005829; GO:0017018; GO:0035331; GO:0046872; GO:0046982; GO:1900227
g2736	Q5I0D7	GO:0006508; GO:0008233; GO:0030145; GO:0030574; GO:0043069; GO:0070006; GO:0102009
g21793	NA	NA
g2734	P24043	GO:0005102; GO:0005198; GO:0005576; GO:0005604; GO:0007155; GO:0007411; GO:0007517; GO:0014037; GO:0030334; GO:0031594; GO:0032224; GO:0035633; GO:0042383; GO:0043083; GO:0043197; GO:0045785; GO:0045995; GO:0051149; GO:0062023; GO:0098637; GO:0110011; GO:2001046
g13462	Q9UBV7	GO:0000139; GO:0003831; GO:0005794; GO:0005975; GO:0006024; GO:0006029; GO:0006487; GO:0008378; GO:0016020; GO:0030145; GO:0030166; GO:0030203; GO:0032580; GO:0036211; GO:0046525; GO:0048147; GO:0070085; GO:0097435
