gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	avg_control	avg_exposed	higher_control	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g16170	14797.85967	1.222862502	0.255170472	4.792335461	1.65E-06	1.76E-05	18919	13346	12660	6916	11768	10586	10108	11122	14100	10229	17995	16731	19121	7787	21998	12848	11928.125	15101.125	false	sp	P47955	RLA1_MOUSE	73.016	63	17	0	1	189	1	63	2.72E-26	97.1	P47955	reviewed	RLA1_MOUSE	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1)	Rplp1	Mus musculus (Mouse)	114	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006414; GO:0006417; GO:0022625; GO:0030295; GO:0043021; GO:0045202; GO:0098794
g19012	77734.99674	0.81376115	0.201204783	4.044442375	5.24E-05	0.000366469	81279	91022	77725	49232	70430	77429	77947	84924	70921	79689	85973	80164	85598	35663	77131	59538	76248.5	71834.625	true	sp	G1SKF7	RL6_RABIT	59.375	256	97	2	10	756	36	291	1.59E-78	241	G1SKF7	reviewed	RL6_RABIT	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	RPL6	Oryctolagus cuniculus (Rabbit)	291	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005791; GO:0022625
g22950	34535.13438	0.86444335	0.232135389	3.723875766	0.000196187	0.001129779	34643	33093	34891	23376	38226	31842	33368	34483	30452	27035	41857	36985	33618	18636	38636	24910	32990.25	31516.125	true	sp	P05388	RLA0_HUMAN	73.091	275	74	0	1	825	1	275	2.37E-141	404	P05388	reviewed	RLA0_HUMAN	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	RPLP0	Homo sapiens (Human)	317	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0005925; GO:0006412; GO:0014069; GO:0016020; GO:0022625; GO:0022626; GO:0036464; GO:0070062; GO:0070180; GO:0098794; GO:1990904
g18210	33273.64891	0.882108911	0.228541556	3.859730924	0.000113512	0.000709938	34917	38531	35738	20102	28083	30158	29681	36393	29799	26526	36505	30358	36269	14785	53150	24936	31700.375	31541	true	sp	P51410	RL9_MOUSE	67.188	192	61	1	1	570	1	192	2.53E-96	280	P51410	reviewed	RL9_MOUSE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	Rpl9	Mus musculus (Mouse)	192	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0019843; GO:0022625; GO:0045202; GO:0098793; GO:0098794; GO:0140236; GO:0140242
g16934	58377.69385	0.579727143	0.187928113	3.084834591	0.002036654	0.008057678	72364	80679	67837	43664	49906	58761	65452	66287	51850	43381	65105	62169	63949	21687	65998	45052	63118.75	52398.875	true	sp	O61231	RL10_DROME	80.282	213	42	0	1	639	1	213	4.13E-131	370	O61231	reviewed	RL10_DROME	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (QM protein homolog) (dQM)	RpL10 Qm CG17521	Drosophila melanogaster (Fruit fly)	218	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0043025
g1094	34288.12793	0.811938666	0.218864397	3.709779559	0.00020744	0.001185713	37071	42168	39201	22582	28036	28402	34484	37381	32904	23582	40816	38338	33841	10384	61407	28211	33665.625	33685.375	false	sp	Q9VXX8	RL371_DROME	81.818	88	16	0	1	264	1	88	3.61E-40	131	Q9VXX8	reviewed	RL371_DROME	Large ribosomal subunit protein eL37A (Probable 60S ribosomal protein L37-A) (Ribosomal protein L37-1)	RpL37-1 RpL37a CG9091	Drosophila melanogaster (Fruit fly)	93	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625; GO:0022626; GO:0046872
g16116	11344.28153	0.862819893	0.209211334	4.124154645	3.72E-05	0.000271524	14294	12254	10238	6651	11006	11035	8989	12499	11774	9015	11172	12219	12090	4344	18917	8973	10870.75	11063	false	sp	P18101	RL40_DROME	97.656	128	3	0	1	384	1	128	1.06E-89	258	P18101	reviewed	RL40_DROME	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40)]	RpL40 Ubi-f UBI-F52 CG2960	Drosophila melanogaster (Fruit fly)	128	GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0006412; GO:0006511; GO:0016567; GO:0019941; GO:0022625; GO:0022627; GO:0031386; GO:0031625; GO:0036211
g22412	53429.49309	0.811385226	0.23343763	3.475811623	0.00050931	0.002519985	68868	67274	50490	35892	44789	47670	45083	57919	49587	45766	59520	46599	71381	22247	76467	32683	52248.125	50531.25	true	sp	P62914	RL11_RAT	86.932	176	23	0	16	543	3	178	6.42E-103	296	P62914	reviewed	RL11_RAT	Large ribosomal subunit protein uL5 (60S ribosomal protein L11)	Rpl11	Rattus norvegicus (Rat)	178	GO:0002181; GO:0003723; GO:0003735; GO:0005654; GO:0005730; GO:0005737; GO:0005840; GO:0006364; GO:0006412; GO:0006605; GO:0008097; GO:0010628; GO:0022625; GO:0022626; GO:0031625; GO:0032435; GO:0032991; GO:0034504; GO:0042273; GO:0042975; GO:0045202; GO:0050821; GO:0098793; GO:0098794; GO:0140236; GO:0140242; GO:1901796; GO:1901798; GO:1990948; GO:2000059; GO:2000435
g23112	36654.69164	0.871443593	0.214784387	4.057294877	4.96E-05	0.000350569	38361	39558	38763	23723	32986	33568	34046	39021	31568	28499	43266	35551	41076	16194	52932	28415	35003.25	34687.625	true	sp	P36241	RL19_DROME	77.157	197	45	0	1	591	1	197	2.79E-86	256	P36241	reviewed	RL19_DROME	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	RpL19 M(2)60E CG2746	Drosophila melanogaster (Fruit fly)	203	GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0022626
g22262	15855.8969	0.865175119	0.221581043	3.904553865	9.44E-05	0.000606759	18095	17424	19463	9888	12725	13667	12949	17445	14046	12008	19340	16974	18604	7480	19123	11843	15207	14927.25	true	sp	C0HKA1	RS14B_DROME	92.857	140	10	0	1	420	1	140	1.36E-79	235	C0HKA1	reviewed	RS14B_DROME	Small ribosomal subunit protein uS11B (40S ribosomal protein S14b)	RpS14b CG1527	Drosophila melanogaster (Fruit fly)	151	GO:0000028; GO:0002181; GO:0003735; GO:0006412; GO:0022626; GO:0022627
g6599	34572.78563	0.79264491	0.2263831	3.50134312	0.000462919	0.002323284	46199	40471	35728	22829	25347	34514	30970	36546	34817	24545	39885	33682	41315	15533	42511	25016	34075.5	32163	true	sp	P61314	RL15_RAT	81.373	204	38	0	1	612	1	204	1.79E-110	317	P61314	reviewed	RL15_RAT	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	Rpl15	Rattus norvegicus (Rat)	204	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0045202; GO:0045471
g10949	31405.76389	0.811795199	0.253566553	3.201507407	0.001367106	0.005787283	25966	37533	38343	21391	27133	33778	30748	31487	27989	22153	39668	27261	29767	16170	36026	25392	30797.375	28053.25	true	sp	P62907	RL10A_RAT	79.07	215	45	0	4	648	3	217	4.18E-111	320	P62907	reviewed	RL10A_RAT	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a)	Rpl10a	Rattus norvegicus (Rat)	217	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0006412; GO:0014069; GO:0022625; GO:0022626; GO:0045202; GO:0045471
g9309	24599.39925	0.876628204	0.217496747	4.030534794	5.57E-05	0.000386182	32819	25704	26992	14748	19770	22965	19445	24517	23268	18124	29165	26996	30053	9503	36975	18458	23370	24067.75	false	sp	P24049	RL17_RAT	80.247	162	32	0	1	486	1	162	2.75E-97	282	P24049	reviewed	RL17_RAT	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (Amino acid starvation-induced protein) (ASI) (L23)	Rpl17	Rattus norvegicus (Rat)	184	GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0034198; GO:0045202; GO:0070180; GO:1900087; GO:1990928
g20355	20931.41143	1.043681738	0.260913718	4.000102962	6.33E-05	0.000432667	23583	20308	20589	11583	18993	16522	15484	20726	16509	17050	25806	19276	23058	11124	31853	15402	18473.5	20009.75	false	sp	Q86FP7	RS23_DERVA	93.662	142	9	0	10	435	2	143	1.56E-92	267	Q86FP7	reviewed	RS23_DERVA	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	RpS23	Dermacentor variabilis (American dog tick)	143	GO:0002181; GO:0003735; GO:0005791; GO:0022627
g20594	1914.995569	1.79417958	0.395695703	4.534240752	5.78E-06	5.37E-05	668	835	1385	961	2587	1010	854	853	1831	2496	1293	2087	2305	1633	1156	2803	1144.125	1950.5	false	sp	Q6P799	SYSC_RAT	68.116	483	151	3	1	1446	1	481	0	681	Q6P799	reviewed	SYSC_RAT	"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	Sars1 Sars	Rattus norvegicus (Rat)	512	GO:0000049; GO:0000122; GO:0000978; GO:0001514; GO:0002181; GO:0004828; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006400; GO:0006434; GO:0016525; GO:0019899; GO:0042803; GO:0060090; GO:0098619; GO:1904046
g18183	18364.86206	0.904989942	0.21613329	4.187184411	2.82E-05	0.000214382	20115	20154	19383	10785	16391	16432	15852	19258	17621	16372	22016	16901	18631	7336	26262	15677	17296.25	17602	false	sp	O09167	RL21_MOUSE	66.667	162	51	1	10	495	2	160	8.34E-67	203	O09167	reviewed	RL21_MOUSE	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	Rpl21	Mus musculus (Mouse)	160	GO:0002181; GO:0003735; GO:0005737; GO:0005783; GO:0005829; GO:0005840; GO:0022625; GO:0045202; GO:0098794
g13994	53361.84802	0.714784501	0.219012805	3.263665343	0.00109981	0.004815607	75822	65044	58358	34852	43582	48692	53668	55361	49675	42735	65718	55797	64500	22545	50318	39631	54422.375	48864.875	true	sp	P41116	RL8_XENLA	84.921	252	38	0	1	756	1	252	2.55E-160	447	P41116	reviewed	RL8_XENLA	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	rpl8	Xenopus laevis (African clawed frog)	257	GO:0002181; GO:0003735; GO:0019843; GO:0022625
g11209	27346.16981	1.08934962	0.238602623	4.565539169	4.98E-06	4.71E-05	30126	26429	27361	14960	23377	21505	19096	26028	24734	23737	30590	25456	32647	14434	37995	23110	23610.25	26587.875	false	sp	P27085	RS26_OCTVU	84.348	115	17	1	103	444	1	115	1.45E-53	168	P27085	reviewed	RS26_OCTVU	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Octopus vulgaris (Common octopus)	127	GO:0002181; GO:0003729; GO:0003735; GO:0005840; GO:0022627; GO:0098556
g17311	33810.94398	0.720104463	0.212869459	3.382845369	0.00071739	0.003353102	45574	37822	36619	21701	31153	33588	32826	36235	30622	24645	35316	34738	38918	14505	47304	23445	34439.75	31186.625	true	sp	Q90YV0	RL18_ICTPU	77.128	188	43	0	1	564	1	188	7.07E-100	289	Q90YV0	reviewed	RL18_ICTPU	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	rpl18	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	188	GO:0002181; GO:0003735; GO:0005791; GO:0022625
g14134	20138.05736	0.983529891	0.250719511	3.92282948	8.75E-05	0.000569138	24642	21467	19512	12771	14388	17784	15166	19867	18616	14549	26706	18052	23381	9126	29714	15545	18199.625	19461.125	false	sp	P49180	RL35A_CAEEL	60	110	44	0	10	339	15	124	8.72E-47	149	P49180	reviewed	RL35A_CAEEL	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	rpl-33 F10E7.7	Caenorhabditis elegans	124	GO:0002181; GO:0003735; GO:0022625; GO:0042273
