gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g17634	14990.59955	0.865695454	0.232281369	3.726925916	0.000193829	0.001187789	16877	23222	13087	12362	14882	16007	18935	10398	11977	15558	9082	12865	sp	P38983	RSSA_RAT	64.164	293	89	5	1	879	1	277	3.62E-130	375	P38983	reviewed	RSSA_RAT	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	Rpsa Lamr1	Rattus norvegicus (Rat)	295	GO:0000028; GO:0002181; GO:0003677; GO:0003735; GO:0005055; GO:0005198; GO:0005604; GO:0005634; GO:0005737; GO:0005886; GO:0015935; GO:0022626; GO:0022627; GO:0030855; GO:0043022; GO:0043025; GO:0043236; GO:0045202; GO:0062023; GO:0098609; GO:0098978; GO:0140374
g16170	7227.855664	0.87561058	0.349529635	2.505111136	0.012241292	0.037787609	9271	10386	6794	6817	6195	7951	5492	3995	4557	4635	11999	5008	sp	P47955	RLA1_MOUSE	73.016	63	17	0	1	189	1	63	2.72E-26	97.1	P47955	reviewed	RLA1_MOUSE	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1)	Rplp1	Mus musculus (Mouse)	114	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006414; GO:0006417; GO:0022625; GO:0030295; GO:0043021; GO:0045202; GO:0098794
g19012	29487.34226	0.85898716	0.246089007	3.490554775	0.000482019	0.00256305	31660	36431	26593	25639	30250	36054	27585	20875	26967	30437	19651	26296	sp	G1SKF7	RL6_RABIT	59.375	256	97	2	10	756	36	291	1.59E-78	241	G1SKF7	reviewed	RL6_RABIT	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	RPL6	Oryctolagus cuniculus (Rabbit)	291	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005791; GO:0022625
g22950	17935.18184	0.85391637	0.234629804	3.639419866	0.000273253	0.001589747	17847	24741	16807	21795	15895	18239	16601	10932	16385	15100	16389	16253	sp	P05388	RLA0_HUMAN	73.091	275	74	0	1	825	1	275	2.37E-141	404	P05388	reviewed	RLA0_HUMAN	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	RPLP0	Homo sapiens (Human)	317	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0005925; GO:0006412; GO:0014069; GO:0016020; GO:0022625; GO:0022626; GO:0036464; GO:0070062; GO:0070180; GO:0098794; GO:1990904
g18210	13485.69093	1.033389249	0.280883665	3.679064954	0.000234091	0.001393809	16170	19478	11623	13658	13283	15955	14561	9848	10453	13995	4502	12247	sp	P51410	RL9_MOUSE	67.188	192	61	1	1	570	1	192	2.53E-96	280	P51410	reviewed	RL9_MOUSE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	Rpl9	Mus musculus (Mouse)	192	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0019843; GO:0022625; GO:0045202; GO:0098793; GO:0098794; GO:0140236; GO:0140242
g16934	21078.48811	0.772898215	0.229970218	3.360862205	0.000776996	0.00383861	26627	24494	15560	20828	19413	25048	23146	14346	16765	22042	17463	19677	sp	O61231	RL10_DROME	80.282	213	42	0	1	639	1	213	4.13E-131	370	O61231	reviewed	RL10_DROME	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (QM protein homolog) (dQM)	RpL10 Qm CG17521	Drosophila melanogaster (Fruit fly)	218	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0043025
g1094	11298.20244	0.944189637	0.23942453	3.943579372	8.03E-05	0.000558056	12290	16641	10762	10580	10870	12987	9360	7097	8937	12955	8195	9297	sp	Q9VXX8	RL371_DROME	81.818	88	16	0	1	264	1	88	3.61E-40	131	Q9VXX8	reviewed	RL371_DROME	Large ribosomal subunit protein eL37A (Probable 60S ribosomal protein L37-A) (Ribosomal protein L37-1)	RpL37-1 RpL37a CG9091	Drosophila melanogaster (Fruit fly)	93	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625; GO:0022626; GO:0046872
g17410	252.367808	-0.706281979	0.29187978	-2.419770151	0.01553032	0.045849123	144	231	284	154	105	90	772	457	328	305	275	249	sp	D2XV59	GTPB1_RAT	72.084	523	143	2	124	1686	102	623	0	692	D2XV59	reviewed	GTPB1_RAT	GTP-binding protein 1	Gtpbp1	Rattus norvegicus (Rat)	669	GO:0000049; GO:0000177; GO:0002181; GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0046039; GO:0061014; GO:1904678
g23112	14829.85381	0.984815002	0.255137318	3.859941028	0.000113414	0.000755273	17027	20748	13330	15417	14296	17241	15214	10956	12367	14829	5977	13834	sp	P36241	RL19_DROME	77.157	197	45	0	1	591	1	197	2.79E-86	256	P36241	reviewed	RL19_DROME	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	RpL19 M(2)60E CG2746	Drosophila melanogaster (Fruit fly)	203	GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0022626
g6599	11852.52876	0.880039796	0.287725427	3.058609751	0.002223666	0.009268014	12029	14810	8595	11572	13297	13898	11071	7187	9137	11414	10653	10726	sp	P61314	RL15_RAT	81.373	204	38	0	1	612	1	204	1.79E-110	317	P61314	reviewed	RL15_RAT	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	Rpl15	Rattus norvegicus (Rat)	204	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0045202; GO:0045471
g10949	13044.80766	0.837495616	0.239214113	3.501029289	0.000463465	0.002476066	13758	18621	10491	13576	12624	13784	12535	9115	9956	12450	12444	11040	sp	P62907	RL10A_RAT	79.07	215	45	0	4	648	3	217	4.18E-111	320	P62907	reviewed	RL10A_RAT	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a)	Rpl10a	Rattus norvegicus (Rat)	217	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0006412; GO:0014069; GO:0022625; GO:0022626; GO:0045202; GO:0045471
g9309	10434.28719	0.803944265	0.224092886	3.587549254	0.000333801	0.00188108	11752	17154	9240	8677	8936	11429	10061	7550	7849	10078	9241	10069	sp	P24049	RL17_RAT	80.247	162	32	0	1	486	1	162	2.75E-97	282	P24049	reviewed	RL17_RAT	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (Amino acid starvation-induced protein) (ASI) (L23)	Rpl17	Rattus norvegicus (Rat)	184	GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0034198; GO:0045202; GO:0070180; GO:1900087; GO:1990928
g20594	973.7628645	1.704597364	0.482347012	3.533964805	0.000409376	0.00222933	1707	633	833	1759	1330	910	610	280	653	305	1082	289	sp	Q6P799	SYSC_RAT	68.116	483	151	3	1	1446	1	481	0	681	Q6P799	reviewed	SYSC_RAT	"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	Sars1 Sars	Rattus norvegicus (Rat)	512	GO:0000049; GO:0000122; GO:0000978; GO:0001514; GO:0002181; GO:0004828; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006400; GO:0006434; GO:0016525; GO:0019899; GO:0042803; GO:0060090; GO:0098619; GO:1904046
g18183	6111.860919	1.043681146	0.239705674	4.354011015	1.34E-05	0.000117331	7004	8036	5561	6574	6164	7353	5366	4138	4676	5886	3239	5710	sp	O09167	RL21_MOUSE	66.667	162	51	1	10	495	2	160	8.34E-67	203	O09167	reviewed	RL21_MOUSE	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	Rpl21	Mus musculus (Mouse)	160	GO:0002181; GO:0003735; GO:0005737; GO:0005783; GO:0005829; GO:0005840; GO:0022625; GO:0045202; GO:0098794
g13994	18666.49357	0.772609946	0.237005042	3.259888229	0.001114561	0.005217766	21755	22144	15444	16365	18086	22458	19256	13855	14483	17551	18969	15509	sp	P41116	RL8_XENLA	84.921	252	38	0	1	756	1	252	2.55E-160	447	P41116	reviewed	RL8_XENLA	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	rpl8	Xenopus laevis (African clawed frog)	257	GO:0002181; GO:0003735; GO:0019843; GO:0022625
g11209	10090.45142	1.151506309	0.240358943	4.790777893	1.66E-06	1.89E-05	11762	12993	9472	11178	10468	12764	8612	5836	8140	8423	5570	8830	sp	P27085	RS26_OCTVU	84.348	115	17	1	103	444	1	115	1.45E-53	168	P27085	reviewed	RS26_OCTVU	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Octopus vulgaris (Common octopus)	127	GO:0002181; GO:0003729; GO:0003735; GO:0005840; GO:0022627; GO:0098556
g17311	11841.92593	0.858584841	0.196429451	4.37095781	1.24E-05	0.000110082	13507	14780	10315	13217	10843	13284	12502	9373	9931	10947	8118	10499	sp	Q90YV0	RL18_ICTPU	77.128	188	43	0	1	564	1	188	7.07E-100	289	Q90YV0	reviewed	RL18_ICTPU	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	rpl18	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	188	GO:0002181; GO:0003735; GO:0005791; GO:0022625
g11942	44.3619048	-2.903941127	0.606502383	-4.788012721	1.68E-06	1.91E-05	10	15	20	0	2	11	156	130	38	152	72	48	sp	Q8CBC7	TRM7_MOUSE	72.945	292	75	1	1	876	1	288	3.29E-139	400	Q8CBC7	reviewed	TRM7_MOUSE	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog) (Protein ftsJ homolog 1)	Ftsj1	Mus musculus (Mouse)	324	GO:0002130; GO:0002181; GO:0005634; GO:0005737; GO:0005829; GO:0008175; GO:0016423; GO:0022008; GO:0030488; GO:0106339; GO:0106340; GO:1904047
