"","uniprot_accession"
"262","Q18515"
"263","Q9DAP0"
"264","E7F7V7"
"265","F1R332"
"266","Q7ZT72"
"267","A2AV25"
"268","Q15485"
"269","Q8IVV2"
"270","Q8NBN7"
"271","Q6PBA2"
"272","P97831"
"273","Q60539"
"274","Q96M86"
"275","Q9P225"
"276","D3Z2X2"
"277","D2GXS7"
"278","Q9MBF8"
"279","Q96JB1"
"280","D3Z2X2"
"281","Q8N9W6"
"282","Q8N9W6"
"283","P12607"
"284","P05106"
"285","Q8R2H2"
"286","B8JK39"
"287","P16332"
"288","P00029"
"289","P24534"
"290","Q66HF1"
"291","Q9TV66"
"292","Q8TEW0"
"293","Q9Z340"
"294","Q96DM1"
"295","Q96DM1"
"296","P35590"
"297","P35590"
"298","P21328"
"299","Q99M80"
"300","Q00560"
"301","P14381"
"302","Q06807"
"303","Q9NYY3"
"304","Q15485"
"305","Q94045"
"306","Q0V9E9"
"307","Q9NZ01"
"308","O73791"
"309","A1L1R6"
"310","Q2M1K9"
"311","Q6ZSM3"
"312","E1BD59"
"313","O89114"
"314","Q64104"
"315","Q64104"
"316","Q6BEA0"
"317","A2VDD2"
"318","A6ZM04"
"319","Q6J6I8"
"320","Q04205"
"321","Q04205"
"322","Q9HBL0"
"323","Q63HR2"
"324","Q63HR2"
"325","Q5ZHT1"
"326","O35166"
"327","O14904"
"328","O42280"
"329","Q0VCR6"
"330","Q06806"
"331","Q9MYM7"
"332","Q9MYM7"
"333","Q7T6Y2"
"334","Q54TA1"
"335","A2AVA0"
"336","Q06806"
"337","Q13685"
"338","Q9BXJ4"
"339","E1BMP7"
"340","E1BMP7"
"341","Q9D995"
"342","Q32NH8"
"343","Q32NH8"
"344","Q32NH8"
"345","P46101"
"346","Q8N608"
"347","Q5R8R1"
"348","O73791"
"349","Q66K94"
"350","Q6DD06"
"351","Q6NRT6"
"352","Q6NRT6"
"353","P18514"
"354","P18514"
"355","P18514"
"356","Q8IW40"
"357","P13055"
"358","Q5ZJH7"
"359","O77245"
"360","P20664"
"361","Q15262"
"362","Q02446"
"363","Q02446"
"364","Q02446"
"365","Q7ZU42"
"366","P51397"
"367","Q9NXE8"
"368","Q9H8Y8"
"369","A1ZAY1"
"370","Q06806"
"371","Q80V42"
"372","Q9ULJ8"
"373","Q9ULJ8"
"374","Q9ULJ8"
"375","Q9ULJ8"
"376","O35867"
"377","Q49LX6"
"378","O08858"
"379","O43556"
"380","O43556"
"381","Q6AYD3"
"382","D3ZAA9"
"383","D3ZAA9"
"384","Q6XDT4"
"385","O75962"
"386","Q1LUA6"
"387","P97924"
"388","P97924"
"389","P97924"
"390","P97924"
"391","Q8BUG5"
"392","Q5T440"
"393","P10547"
"394","Q8N184"
"395","Q9BYK8"
"396","E9QAM5"
"397","Q6NYU2"
"398","Q9BYK8"
"399","Q06806"
"400","A2AV25"
"401","Q9BYK8"
"402","O70244"
"403","Q9JLB4"
"404","Q497B8"
"405","Q6ZTW0"
"406","O18992"
"407","Q5U3N0"
"408","Q2HJ89"
"409","Q99615"
"410","Q15262"
"411","Q91W82"
"412","A4FV48"
"413","A4FV48"
"414","O60427"
"415","B2KKL4"
"416","P13233"
"417","Q28EL0"
"418","A4FV48"
"419","P57081"
"420","Q9EP82"
"421","Q02386"
"422","Q15262"
"423","Q8UVC3"
"424","Q66J74"
"425","Q5ZII9"
"426","Q5XG71"
"427","O75691"
"428","D4ABH7"
"429","Q15042"
"430","Q99KV1"
"431","Q9C0D9"
"432","Q9Z248"
"433","P98157"
"434","O73925"
"435","P51787"
"436","Q5FWK3"
"437","Q7ZUG0"
"438","Q6P1E8"
"439","A6QNK1"
"440","A6QNK1"
"441","Q791V5"
"442","Q3SZN3"
"443","Q9N285"
"444","Q8AVJ1"
"445","Q801F8"
"446","Q96BA8"
"447","E9Q8T7"
"448","E9Q8T7"
"449","E9Q8T7"
"450","Q9P2D7"
"451","Q9UQF2"
"452","Q9ULM3"
"453","F8J3H2"
"454","O35134"
"455","Q9BY84"
"456","Q96HH6"
"457","Q3UI66"
"458","Q4R646"
"459","Q08DK4"
"460","Q08DK4"
"461","Q4R761"
"462","O95602"
"463","Q09LZ8"
"464","Q8K0H1"
"465","Q96FL8"
"466","O15078"
"467","O15078"
"468","C9K4X8"
"469","O00338"
"470","E1BD59"
"471","Q2TBL6"
"472","Q9EQS0"
"473","A0A0R4IEW8"
"474","Q9WUW8"
"475","Q5ZMA6"
"476","Q5ZMA6"
"477","Q9W770"
"478","Q9HCB6"
"479","Q99999"
"480","Q9JHE4"
"481","Q571I9"
"482","O34660"
"483","Q3T1L0"
"484","P41823"
"485","G8HTB6"
"486","G8HTB6"
"487","G8HTB6"
"488","Q5THR3"
"489","P63047"
"490","Q64464"
"491","K0DZA0"
"492","P21328"
"493","P35223"
"494","Q8JG30"
"495","P56501"
"496","P56500"
"497","Q5R628"
"498","P50416"
"499","P50416"
"500","Q68Y62"
"501","A0A2R9YJI3"
"502","Q5E964"
"503","E9Q9D5"
"504","Q5E9K0"
"505","P40307"
"506","P22105"
"507","O45870"
"508","Q9CWU9"
"509","B5FWC0"
"510","P22735"
"511","Q86SS6"
"512","Q2T9W9"
"513","P83509"
"514","P04176"
"515","Q2KIH7"
"516","Q2KIH7"
"517","Q14596"
"518","P43446"
"519","Q14995"
"520","Q2T9W9"
"521","P78332"
"522","C0HL13"
"523","C0HL13"
"524","Q9Y6R7"
"525","Q29116"
"526","Q5RF84"
"527","O42131"
"528","Q9H4F1"
"529","Q9H4F1"
"530","Q9VZF4"
"531","Q6UXS0"
"532","Q91ZT9"
"533","A9XE49"
"534","P80204"
"535","Q5M8G4"
"536","Q08BY5"
"537","Q9QZ86"
"538","Q19AZ8"
"539","P60815"
"540","P43354"
"541","P43304"
"542","Q15392"
"543","Q5RB31"
"544","P08594"
"545","Q8R367"
"546","Q8JZR6"
"547","Q8BTY2"
"548","Q9H0W7"
"549","Q9Y2E4"
"550","Q9Y2E4"
"551","Q9W0S9"
"552","Q96T60"
"553","Q32LP4"
"554","P17200"
"555","P21551"
"556","P22727"
"557","Q8BVD5"
"558","Q7ZUK7"
"559","Q5UQG7"
"560","Q9UJL9"
"561","Q4R3P6"
"562","P98158"
"563","P98164"
"564","A2ARV4"
"565","P98158"
"566","Q8AYS8"
"567","P50227"
"568","A2VDP6"
"569","Q8QG74"
"570","Q16740"
"571","P9WKB9"
"572","O88413"
"573","Q8K3X2"
"574","P51459"
"575","P67972"
"576","Q32LM2"
"577","Q8ITC7"
"578","O60290"
"579","O60290"
"580","Q7Z333"
"581","Q92900"
"582","Q14247"
"583","Q66HL2"
"584","Q5RCG0"
"585","Q9HB97"
"586","P28347"
"587","P28347"
"588","P28347"
"589","P28347"
"590","Q9BH04"
"591","Q8C180"
"592","Q8WNW2"
"593","A0JMD4"
"594","Q8JG30"
"595","Q29YR5"
"596","Q6PBY7"
"597","Q8K3H7"
"598","Q95JD5"
"599","A1L0Z0"
"600","Q6GP52"
"601","Q64520"
"602","C3YEM5"
"603","C3YEM5"
"604","P31285"
"605","P27467"
"606","Q5ZKE7"
"607","Q16994"
"608","Q53FA7"
"609","Q53FA7"
"610","Q91090"
"611","P55159"
"612","A2ASS6"
"613","A2ASS6"
"614","A2ASS6"
"615","Q62407"
"616","Q8WZ42"
"617","Q17QM4"
"618","Q3SZZ0"
"619","Q8WZ42"
"620","Q9I7U4"
"621","O01761"
"622","Q28824"
"623","O01761"
"624","Q9I7U4"
"625","Q9I7U4"
"626","Q8WZ42"
"627","A2ASS6"
"628","Q8WZ42"
"629","A2ASS6"
"630","Q8WZ42"
"631","Q8VE62"
"632","A2ASS6"
"633","Q23551"
"634","P56276"
"635","A2ASS6"
"636","O75936"
"637","Q15746"
"638","Q28824"
"639","Q28824"
"640","A2AAJ9"
"641","Q9I7U4"
"642","Q6DJK9"
"643","Q696W0"
"644","P29294"
"645","Q15772"
"646","Q6L8Q7"
"647","P34971"
"648","Q8BZ39"
"649","Q28997"
"650","P98078"
"651","P08594"
"652","Q4K8M4"
"653","Q4K8M4"
"654","Q68CP9"
"655","E9Q7E2"
"656","P04634"
"657","Q6NWH0"
"658","Q5RBZ2"
"659","Q78PY7"
"660","Q5REU4"
"661","P10547"
"662","Q8BZK4"
"663","Q7TMR7"
"664","Q9H8J5"
"665","Q8HXG8"
"666","O14513"
"667","P54360"
"668","P54360"
"669","Q6X936"
"670","Q9BXK5"
"671","Q90839"
"672","O97859"
"673","O97859"
"674","O97859"
"675","Q98ST6"
"676","Q9NTJ4"
"677","Q91W89"
"678","Q9EQC4"
"679","Q6AY08"
"680","Q8N2E2"
"681","Q5RC02"
"682","Q9VLM8"
"683","Q6UWM5"
"684","O75165"
"685","O75165"
"686","P70428"
"687","Q6NXH8"
"688","Q8TCG1"
"689","Q9EQD2"
"690","P0CB85"
"691","Q7TMR7"
"692","Q6P2X9"
"693","O57422"
"694","Q8ITC7"
"695","Q68EF4"
"696","Q9N2B0"
"697","P25095"
"698","O60669"
"699","A0A1D5NSM8"
"700","A0A1D5NSM8"
"701","A0A1D5NSM8"
"702","A7J1T0"
"703","Q9UM22"
"704","Q9NSI2"
"705","P31327"
"706","Q66KG5"
"707","Q0VFM6"
"708","Q8VHQ2"
"709","Q3TBW2"
"710","Q6WQJ1"
"711","Q9Y4D2"
"712","Q9Y4D2"
"713","Q9ASR4"
"714","Q9Y3C5"
"715","Q9ASR4"
"716","Q7Z5V6"
"717","Q75J93"
"718","Q75J93"
"719","Q17DK5"
"720","Q12996"
"721","Q8BKE9"
"722","Q5RGJ6"
"723","Q8QG61"
"724","Q9UPX8"
"725","Q9UPX8"
"726","Q9UPX8"
"727","X6R8D5"
"728","Q8BGR8"
"729","Q5BKH5"
"730","P26256"
"731","Q9PTS8"
"732","Q8CGU9"
"733","P35992"
"734","P20611"
"735","Q9EQC4"
"736","P97411"
"737","P97411"
"738","Q9WV76"
"739","Q03637"
"740","Q03637"
"741","Q8BX79"
"742","Q8BX79"
"743","P02712"
"744","P51954"
"745","O55156"
"746","O55156"
"747","P43006"
"748","Q6QNK2"
"749","Q8IVL0"
"750","Q8IVL1"
"751","Q8IVL1"
"752","Q8IVL1"
"753","Q8IVL1"
"754","Q6IQ26"
"755","Q6IQ26"
"756","Q8CGC6"
"757","P30536"
"758","P30536"
"759","Q8C8M1"
"760","Q5F471"
"761","Q5F471"
"762","Q922D4"
"763","Q922D4"
"764","P35282"
"765","Q9D0S9"
"766","Q8BZ39"
"767","P70579"
"768","B0BN95"
"769","Q62746"
"770","Q9R0N8"
"771","Q9Y5L0"
"772","Q8R367"
"773","Q8R367"
"774","Q8R367"
"775","Q9NB33"
"776","Q5R8Y8"
"777","Q792H5"
"778","Q792H5"
"779","A4IIM2"
"780","Q9BYT3"
"781","G8HTB6"
"782","Q75V66"
"783","Q75V66"
"784","Q75V66"
"785","Q75V66"
"786","Q5PR73"
"787","Q8C5H1"
"788","Q7ZXL5"
"789","Q7ZXL5"
"790","Q15431"
"791","Q8AVY1"
"792","Q63802"
"793","Q9NUJ3"
"794","Q2HJ56"
"795","Q6AX60"
"796","Q6AX60"
"797","Q6AX60"
"798","Q5FWF5"
"799","Q8BFY9"
"800","Q28BR5"
"801","E9Q0N2"
"802","Q80Z71"
"803","Q91740"
"804","Q60821"
"805","Q6ZMW2"
"806","A2VDP4"
"807","Q90625"
"808","Q90ZK6"
"809","Q90ZK6"
"810","Q2T9T9"
"811","Q149M9"
"812","Q5ZID6"
"813","Q8NEG2"
"814","Q8WXB1"
"815","E7F6T8"
"816","Q503I8"
"817","Q5ZJM3"
"818","Q5ZJM3"
"819","Q96IV0"
"820","Q5R9T5"
"821","Q5RB22"
"822","Q9IA79"
"823","Q9JIQ3"
"824","Q9NPF2"
"825","Q9JME2"
"826","P33610"
"827","Q6PD31"
"828","Q6PD31"
"829","Q6PD31"
"830","B2RY50"
"831","Q3T0J1"
"832","Q6NRW3"
"833","O08684"
"834","Q80XC3"
"835","Q16611"
"836","Q16611"
"837","Q9VXX8"
"838","B9DFG5"
"839","A2CI34"
"840","A7SNN5"
"841","Q5RFH9"
"842","D4A7U2"
"843","P25433"
"844","P62907"
"845","Q9H6L4"
"846","Q8BY87"
"847","E1C1R4"
"848","E1C1R4"
"849","Q16543"
"850","Q16543"
"851","Q9DGQ7"
"852","A6H730"
"853","A6H730"
"854","Q00492"
"855","O96185"
"856","Q00492"
"857","Q8BRK8"
"858","Q2TA01"
"859","Q8WQ99"
"860","Q96A58"
"861","Q3TC46"
"862","Q3TC46"
"863","Q24180"
"864","C7B178"
"865","Q8IUR5"
"866","A0AVK6"
"867","Q28062"
"868","Q5RD00"
"869","P97610"
"870","A7SNN5"
"871","A7SNN5"
"872","Q9ULJ7"
"873","A8T6P4"
"874","Q7ZUZ0"
"875","Q08CH3"
"876","Q9BZF3"
"877","P54646"
"878","Q8BXR9"
"879","Q8BXR9"
"880","Q5F478"
"881","Q15542"
"882","Q5XIC8"
"883","Q5XIC8"
"884","Q6DCX5"
"885","Q7ZWG6"
"886","Q07263"
"887","Q28DB0"
"888","P05091"
"889","A2RUC4"
"890","Q6AY04"
"891","P34410"
"892","P60755"
"893","B0BNE2"
"894","Q6VV64"
"895","Q54B33"
"896","X1WER2"
"897","A0JM23"
"898","Q8BWW4"
"899","Q9VZS3"
"900","Q5FWL3"
"901","Q9HCJ5"
"902","E9Q5F9"
"903","P98158"
"904","P18519"
"905","O15519"
"906","Q14790"
"907","Q8N159"
"908","F1P4W9"
"909","Q9P217"
"910","P20825"
"911","Q6GLN7"
"912","Q5ZM13"
"913","Q6DIM3"
"914","P46409"
"915","Q9SEV2"
"916","P54351"
"917","P54351"
"918","Q8N7P7"
"919","P46459"
"920","P46460"
"921","Q95SX7"
"922","O97859"
"923","G5E8K5"
"924","P21328"
"925","Q9UBC2"
"926","P15941"
"927","Q571H0"
"928","E1BHC3"
"929","Q99741"
"930","Q06827"
"931","Q86TI4"
"932","P62071"
"933","Q9NQS7"
"934","Q5ZIA5"
"935","Q3T0V9"
"936","Q9NPI0"
"937","Q4SBY6"
"938","D2YVH7"
"939","Q9IBG7"
"940","Q9IBG7"
"941","P06845"
"942","P33450"
"943","Q9IBG7"
"944","Q60614"
"945","Q96PB1"
"946","A0A096X8J7"
"947","A0A096X8J7"
"948","Q6SJP2"
"949","P48751"
"950","P27169"
"951","Q11011"
"952","P55786"
"953","Q28691"
"954","Q6NT55"
"955","P97259"
"956","Q09328"
"957","P98163"
"958","P98158"
"959","Q5E9Y2"
"960","P83609"
"961","O57525"
"962","P49285"
"963","P49288"
"964","P49285"
"965","P0C5J4"
"966","P0C5J4"
"967","P30974"
"968","Q89703"
"969","P04274"
"970","P0C5J4"
"971","P04274"
"972","O93603"
"973","P54288"
"974","Q9CY34"
"975","Q6NWF4"
"976","Q9HCI5"
"977","P23253"
"978","Q5RC06"
"979","Q5RC06"
"980","Q62745"
"981","P22897"
"982","P22897"
"983","P30974"
"984","Q0IIJ2"
"985","Q8WXX0"
"986","Q9GZY4"
"987","D4A6L0"
"988","D4A6L0"
"989","Q9HAQ2"
"990","Q9WV04"
"991","Q90XC2"
"992","Q920R0"
"993","Q920R0"
"994","Q920R0"
"995","O00522"
"996","Q6ZS30"
"997","Q6ZS30"
"998","Q6ZS30"
"999","Q8C5N3"
"1000","Q9HCG8"
"1001","Q08C72"
"1002","Q08C72"
"1003","Q63424"
"1004","Q63424"
"1005","B0S6T2"
"1006","Q5Y4N8"
"1007","Q8N3P4"
"1008","Q8N3P4"
"1009","Q8N3P4"
"1010","Q0P5W1"
"1011","O75366"
"1012","Q29261"
"1013","Q9PTJ6"
"1014","Q9PTJ6"
"1015","P0DL86"
"1016","Q6TEM9"
"1017","Q8BM54"
"1018","P70168"
"1019","Q0MQD2"
"1020","P39060"
"1021","Q5UPS6"
"1022","O35206"
"1023","Q8VIL2"
"1024","Q8VIL2"
"1025","Q49A88"
"1026","Q76B49"
"1027","A9CMA6"
"1028","Q28EM8"
"1029","Q8WYN3"
"1030","F1N2K1"
"1031","Q96L42"
"1032","Q96L42"
"1033","Q6GPB8"
"1034","Q9R1P4"
"1035","Q5U243"
"1036","Q14432"
"1037","Q63085"
"1038","Q9UA35"
"1039","Q9UA35"
"1040","P06027"
"1041","Q8WPD0"
"1042","Q8WPD0"
"1043","Q8WPD0"
"1044","Q5U243"
"1045","Q90368"
"1046","A6H7H7"
"1047","Q56A06"
"1048","P16331"
"1049","M0QWB7"
"1050","Q9NQ33"
"1051","Q9JJR8"
"1052","Q9JJR8"
"1053","Q5E959"
"1054","Q5E9B6"
"1055","Q8HXD5"
"1056","Q6XXY0"
"1057","G8HTB6"
"1058","G8HTB6"
"1059","Q149M0"
"1060","O15442"
"1061","O15442"
"1062","P27085"
"1063","Q8BGQ6"
"1064","Q96EH3"
"1065","Q90YB1"
"1066","Q7Z6J2"
"1067","Q9D534"
"1068","Q80W71"
"1069","Q8K4L3"
"1070","A0A1D5NSM8"
"1071","Q767F1"
"1072","Q96QF0"
"1073","Q8N4L8"
"1074","Q93008"
"1075","Q9HCH3"
"1076","Q86YQ8"
"1077","Q32L65"
"1078","Q07817"
"1079","Q55E58"
"1080","A0A1L8F5J9"
"1081","P35439"
"1082","Q3HNM7"
"1083","Q9PWF7"
"1084","P56489"
"1085","Q9H0E2"
"1086","P18519"
"1087","O13936"
"1088","Q9W4Q9"
"1089","P42694"
"1090","E9QAM5"
"1091","P35992"
"1092","P35992"
"1093","Q55E58"
"1094","P09380"
"1095","Q9Z1T6"
"1096","Q9Z1T6"
"1097","Q9Z1T6"
"1098","O02662"
"1099","A2AV25"
"1100","Q95LU3"
"1101","Q9Y2I7"
"1102","Q8CDU5"
"1103","F1MMV1"
"1104","Q98932"
"1105","Q8BVT6"
"1106","A8MPX8"
"1107","Q8R314"
"1108","P96576"
"1109","Q9Y2U5"
"1110","Q61083"
"1111","Q32L09"
"1112","Q8TE57"
"1113","Q8TE57"
"1114","P25723"
"1115","P35992"
"1116","Q9JMH7"
"1117","Q2YDJ8"
"1118","Q8NHY6"
"1119","O80668"
"1120","Q9Y6F6"
"1121","Q12912"
"1122","Q04202"
"1123","P11862"
"1124","Q92621"
"1125","Q92621"
"1126","P0CY46"
"1127","Q6DBW0"
"1128","Q0VA40"
"1129","P18130"
"1130","Q24JV9"
"1131","Q505I5"
"1132","Q505I5"
"1133","Q6IMK3"
"1134","Q55E58"
"1135","A9ULE9"
"1136","Q6ZQQ6"
"1137","Q3ZBH0"
"1138","P61166"
"1139","Q3C2C2"
"1140","B0BLT0"
"1141","Q6DHJ3"
"1142","Q8CH62"
"1143","B1WAX6"
"1144","Q55E58"
"1145","Q9D864"
"1146","Q95JW3"
"1147","O43581"
"1148","O43581"
"1149","Q99K28"
"1150","Q02067"
"1151","Q90259"
"1152","G3MWR8"
"1153","G3MWR8"
"1154","Q8CJ19"
"1155","Q10728"
"1156","Q10728"
"1157","O14974"
"1158","Q10728"
"1159","Q6DRG7"
"1160","Q9P2G1"
"1161","Q9Y672"
"1162","Q8BIA3"
"1163","Q8NEV4"
"1164","Q8NEV4"
"1165","Q8NEV4"
"1166","Q8NEV4"
"1167","Q9JHX2"
"1168","A0JMU8"
"1169","P31272"
"1170","F1NVK6"
"1171","P70628"
"1172","Q4R4T9"
"1173","O08762"
"1174","Q5G267"
"1175","P21757"
"1176","Q8BV79"
"1177","Q8BV79"
"1178","Q8BJZ4"
"1179","Q9H6Z4"
"1180","Q9Y5Q9"
"1181","Q9D7Z6"
"1182","Q9QX15"
"1183","Q2PZL6"
"1184","P22105"
"1185","P22105"
"1186","A0A1D5NSM8"
"1187","A4D1F6"
"1188","Q502G2"
"1189","P37287"
"1190","Q5RDX1"
"1191","G7CFI3"
"1192","Q9PVW8"
"1193","P58659"
"1194","O76536"
"1195","P53988"
"1196","P58421"
"1197","Q6DJM7"
"1198","A4IIW7"
"1199","Q9I9M5"
"1200","A7YY35"
"1201","A7YY35"
"1202","A7YY35"
"1203","A7YY35"
"1204","Q63421"
"1205","Q63421"
"1206","Q63421"
"1207","Q9FIL7"
"1208","O08584"
"1209","Q90WJ8"
"1210","Q76IQ3"
"1211","O42574"
"1212","P84173"
"1213","P10881"
"1214","Q9H3S7"
"1215","Q9H3S7"
"1216","Q96MU7"
"1217","Q9W6N4"
"1218","F1MAB7"
"1219","F1MAB7"
"1220","Q13574"
"1221","P0C6B8"
"1222","P49918"
"1223","A0A125YHX7"
"1224","Q96MU7"
"1225","Q9NW61"
"1226","Q13702"
"1227","Q502W6"
"1228","Q502W6"
"1229","Q0MQC7"
"1230","Q5R5M1"
"1231","Q5R5M1"
"1232","Q9Y5A7"
"1233","A2A6Q5"
"1234","Q2KI54"
"1235","Q8K1N4"
"1236","Q96EZ8"
"1237","Q9D1Q6"
"1238","Q7ZU45"
"1239","P55345"
"1240","P55345"
"1241","O76536"
"1242","O76536"
"1243","Q96EK7"
"1244","Q96EK7"
"1245","Q96EK7"
"1246","P16066"
"1247","B8JI71"
"1248","P10079"
"1249","Q8N8U9"
"1250","Q868T3"
"1251","Q9WTV9"
"1252","O35507"
"1253","Q5ZLS8"
"1254","Q9NYT6"
"1255","Q9NYT6"
"1256","P16066"
"1257","Q96N22"
"1258","Q8NB50"
"1259","A1L1J6"
"1260","Q9UJL9"
"1261","Q9BVH7"
"1262","P90666"
"1263","P90666"
"1264","Q22795"
"1265","Q09575"
"1266","Q8C1A5"
"1267","Q864U1"
"1268","Q864U1"
"1269","Q864U1"
"1270","Q22795"
"1271","Q86PM4"
"1272","O73791"
"1273","Q06805"
"1274","Q8C1A5"
"1275","Q8C1A5"
"1276","Q8C1A5"
"1277","Q13635"
"1278","Q5R4N9"
"1279","Q7M3K2"
"1280","Q6FSB1"
"1281","O60290"
"1282","Q13635"
"1283","Q13635"
"1284","Q5ZKV8"
"1285","Q5HY64"
"1286","P35072"
"1287","Q94K49"
"1288","Q96AE7"
"1289","E7F211"
"1290","Q96AE7"
"1291","Q96DM1"
"1292","O55164"
"1293","Q9NYV6"
"1294","P23468"
"1295","Q96KV7"
"1296","P14314"
"1297","P09593"
"1298","Q15485"
"1299","Q6P3X8"
"1300","Q6P3X8"
"1301","Q5XJW2"
"1302","Q9QY40"
"1303","Q864U1"
"1304","Q06807"
"1305","O76050"
"1306","Q9NUD5"
"1307","O00370"
"1308","Q7TMR7"
"1309","P35822"
