transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_accession_ID	gene	V5	V6	V7	V8	V9	V10	V11	V12	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
g19935.t1	160.612965253878	-0.462580711803353	0.173369896826028	-2.66817204296742	0.0076265194284127	0.0266465471820701	sp|P16258|OSBP1_RABIT	55.108	744	270	12	37	2160	94	809	0	736	130	113	167	97	65	126	318	205	200	245	217	205
g14995.t1	88.9003935080227	1.30073726557829	0.316670393664373	4.10754302139434	3.99890309307477e-05	0.000327198172011717	sp|P53808|PPCT_MOUSE	51.232	203	96	2	7	606	8	210	2.84e-74	226	123	55	114	187	69	89	93	42	55	52	65	67
g3334.t1	5.23875146150528	6.13010051507438	2.34811517989524	2.61064728321712	0.00903710482417563	0.0305924122505807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	25	0	0	25	0	0	0	0	0	0
g18404.t1	8.69332312553328	-2.17323776130642	0.906234473818367	-2.39809654575334	0.0164805207543288	0.0497132331489382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2	8	0	1	20	21	20	25	0	20
g19391.t1	210.779454451264	1.21784605664626	0.283396753837442	4.29731830077639	1.72876865431208e-05	0.000161417693139869	sp|Q6GNT2|SPRNG_XENLA	50.246	203	92	5	1	597	7	204	3.04e-60	190	355	183	198	349	212	165	154	148	145	154	134	175
g4279.t1	648.319181523553	3.87158502885576	0.57697376629096	6.71015781834242	1.94414032127348e-11	8.20393695916698e-10	sp|Q5RBN9|TAD2B_PONAB	50.343	437	183	6	55	1350	8	415	1e-127	395	1048	2028	1151	47	701	1315	173	136	89	58	95	81
g6296.t1	13.1858137876842	2.07067735488568	0.526980395009052	3.929325216833	8.5184567297844e-05	0.000618417647045122	sp|Q05941|ACHA7_RAT	34.141	495	280	12	91	1518	26	493	4.02e-79	259	26	18	12	13	16	20	12	6	7	1	3	9
g14682.t1	602.609142091774	1.65392568530011	0.226420964657712	7.30464905403265	2.77991351268641e-13	1.65947276153658e-11	sp|Q4QQV8|CHMP5_RAT	71.689	219	62	0	1	657	1	219	4.84e-98	287	1069	692	838	534	678	727	457	283	269	389	431	333
g3235.t1	117.935539041232	2.59242503693774	0.353365724799018	7.33637943638199	2.19449312225817e-13	1.35120048219544e-11	sp|P55088|AQP4_MOUSE	51.073	233	107	4	49	735	34	263	1.54e-70	223	303	369	237	94	79	59	79	63	20	26	38	20
g21682.t1	49.1256257381728	2.13520606898668	0.498367036530806	4.28440469066757	1.83229133283144e-05	0.000169467474241094	sp|Q503W7|ATD1B_DANRE	60.108	371	134	3	13	1122	5	362	1.16e-158	452	67	38	39	160	51	38	35	18	27	15	23	9
g22840.t1	49.7855737653454	-1.7959591627734	0.38324824853006	-4.68615099915464	2.78390903837844e-06	3.29757646530247e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	16	24	19	5	35	132	85	46	101	145	70
g16724.t1	207.635366985886	1.10130474411426	0.38733279499051	2.84330363542091	0.004464851252901	0.0171617172225759	sp|O54983|CRYM_MOUSE	50.327	306	149	2	268	1176	7	312	6.25e-91	279	155	190	319	219	86	485	166	201	160	172	116	134
g11077.t1	30.3573882344908	1.90090359749718	0.597386291070367	3.18203418108446	0.00146244557729716	0.00685204221188762	sp|P06845|TYRO_STRGA	29.63	270	150	8	433	1128	1	268	4.76e-27	113	78	83	33	5	28	29	49	15	14	8	2	18
g11220.t1	332.203091917902	-1.08697025028968	0.289980700522064	-3.74842273410872	0.000177950140130295	0.00116804014205537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	299	182	220	87	130	178	814	435	425	468	750	481
g22915.t1	179.402829139967	4.99657619286306	1.13498366861592	4.40233311811105	1.07092958187089e-05	0.000105370860366996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	230	1323	281	0	5	251	11	9	9	0	11	18
g11247.t1	5603.52977378022	0.83336597892203	0.329008152187393	2.53296452802595	0.0113102397696617	0.036579863675252	sp|Q9PWF7|CATA_GLARU	67.959	490	155	1	10	1473	5	494	0	718	4160	6387	7136	4859	2801	11249	6349	5029	5456	4551	3355	4730
g9171.t1	64.0725911905448	1.31007889266266	0.359413611208918	3.64504529546362	0.000267344710898572	0.00164403562795039	sp|Q3UXZ6|FA81A_MOUSE	29.93	284	186	3	211	1053	72	345	2.04e-22	100	97	154	72	35	45	78	63	34	25	73	41	44
g22157.t1	4880.34728245444	-2.48557462291687	0.52810941634695	-4.70655236581491	2.51941289908807e-06	3.03075735929785e-05	sp|Q9CX98|CP2U1_MOUSE	28.384	458	297	12	193	1527	91	530	1.27e-57	203	819	358	817	3883	1429	1234	5805	7963	13092	5912	14967	7628
g5988.t1	25.9261584625515	3.44501126085997	0.823240746270448	4.18469478881725	2.85549501371847e-05	0.000246152857308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	130	20	8	14	25	5	0	9	6	0	8
g21016.t1	26.8787636125891	-0.977607128515193	0.401899468972629	-2.43246683309694	0.014996364890904	0.045958495001393	sp|Q63ZY7|UXT_RAT	55.319	141	61	1	7	429	11	149	5.5e-51	163	10	14	16	19	9	24	65	45	42	49	16	48
g4758.t1	17.6935782676337	1.61682784313178	0.669037436124972	2.41664779253065	0.0156641657566046	0.0477286594326671	sp|Q8NHU2|CFA61_HUMAN	49.465	467	199	4	1213	2502	377	843	7.33e-137	441	42	60	24	7	5	18	22	12	11	2	0	17
g15181.t1	1465.30619627947	2.62994518787894	0.379956511601476	6.92170053039491	4.46253856017164e-12	2.10545795200387e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675	543	858	3264	2727	2303	447	324	261	412	604	409
g10897.t1	66.658153510815	-1.01987190384964	0.361528643799144	-2.82099889273573	0.00478743681208265	0.0181980222831641	sp|Q2HJ56|PWP1_BOVIN	46.653	478	228	6	22	1383	1	475	7.63e-143	423	40	52	47	52	11	32	90	160	127	92	117	60
g7930.t1	5.77663889165955	-1.68942855471096	0.700908653805685	-2.41034055655892	0.0159376358860225	0.0484358388555579	sp|P85977|ZNFP_CHLAE	35.043	117	71	3	4	351	213	325	2.91e-12	65.9	3	1	6	1	0	4	20	9	8	19	8	5
g8823.t1	6.39291641565582	3.14317216211457	0.804868470568189	3.90519976499474	9.41475803060209e-05	0.000673514659259002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	5	9	3	6	17	3	1	1	4	0	1
g21513.t1	33.8221197906953	-1.45279009857083	0.35171189142766	-4.13062547494114	3.61777567043186e-05	0.000300025614684692	sp|Q5XK94|TIDC1_XENLA	43.868	212	118	1	25	660	16	226	3.43e-49	164	27	12	26	18	3	13	94	48	51	75	67	41
g21213.t1	1066.07469562664	4.41660861669969	0.811272887108507	5.44404809637003	5.20831471850684e-08	1.00769567379806e-06	sp|Q5G266|NETR_TRAPH	37.445	227	130	6	580	1239	280	501	2.79e-38	150	832	3698	1932	51	337	4028	25	150	122	41	203	116
g13123.t1	2241.73619130372	7.77516920331957	0.687355162326885	11.3117200967816	1.14816277025345e-29	7.49367568052083e-27	sp|P9WQE3|PPSD_MYCTU	48.402	219	109	3	19	666	37	254	7.17e-62	213	4332	2542	2084	571	4271	6744	20	9	65	10	13	23
g13930.t1	24.2872592787971	-4.87321117212553	0.696363757909047	-6.99808270717332	2.59488904439953e-12	1.27658109269705e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	3	2	4	67	72	23	70	66	47
g14573.t1	7452.03104075867	0.696585729564344	0.177615902677151	3.92186577364367	8.78659379782378e-05	0.00063437133687828	sp|P49165|RL4_URECA	68.802	359	111	1	13	1089	2	359	0	522	7821	8090	6454	7864	6638	8499	7488	6020	6402	7514	7280	6362
g21721.t1	278.649861860661	-1.30268227851335	0.424467472782021	-3.06898022120607	0.00214790811144786	0.00937495337096502	sp|O70209|PDLI3_MOUSE	39.264	326	161	6	22	993	4	294	3.49e-67	225	153	160	116	70	118	169	767	431	161	561	881	209
g14363.t1	381.934343251553	0.512920157195089	0.166093106417611	3.08814837808767	0.00201407882083985	0.00889392496888683	sp|Q6GPF3|CUL3B_XENLA	78.609	762	150	3	10	2256	7	768	0	1233	447	361	335	400	288	417	547	355	336	381	345	360
g15670.t1	212.808324826473	-1.72491016276947	0.35405091292366	-4.87192688906126	1.1051506772442e-06	1.48312887323108e-05	sp|Q9VBW3|CAD96_DROME	48.089	314	153	3	166	1095	466	773	5.09e-93	297	67	102	108	71	27	139	410	483	217	393	574	318
g8926.t2	161.46803891614	1.49071455938718	0.291414958302324	5.11543596825481	3.13017122680765e-07	4.85647802067304e-06	sp|Q5XIS7|UBAP1_RAT	25.281	534	315	18	40	1530	13	499	2.6e-26	115	217	347	238	87	125	227	133	105	88	126	82	96
g10789.t1	181.950660412018	-1.11051045433117	0.254974159764454	-4.35538430779443	1.32833660486407e-05	0.000127870357538046	sp|P0CB85|NDUB8_PONAB	46.951	164	85	2	64	552	24	186	7.63e-38	131	113	96	172	123	38	71	402	254	263	302	352	275
g22734.t1	2713.7887992865	1.30919727786354	0.441710285493138	2.96392753544761	0.00303739803895539	0.0124185119237308	sp|P58375|RL30_SPOFR	79.104	67	14	0	1	201	1	67	1.26e-31	108	3120	3865	2364	3089	3037	3357	2545	1603	2080	2590	311	2331
g8447.t1	192.992933312745	2.1983519355891	0.48383977121634	4.54355360259574	5.53137314083968e-06	5.97376095408941e-05	sp|Q9JJZ6|KLF13_MOUSE	81.633	98	18	0	478	771	163	260	8.4e-55	182	182	284	403	79	94	585	84	40	74	86	111	121
g14191.t1	8.23472364039031	-2.31267614805282	0.912449928888791	-2.53457869284867	0.0112582637260265	0.036441858779236	sp|Q7M370|AAAD_RABIT	35.572	402	226	13	19	1179	2	385	4.35e-49	174	9	5	1	3	0	0	50	10	7	36	7	3
g17223.t1	28.0420134316491	-1.43799989342096	0.470836897757949	-3.05413594446078	0.00225709775727073	0.00975257976575906	sp|Q5ZL26|KPRB_CHICK	67.347	147	45	1	7	438	14	160	4.45e-75	212	23	20	11	3	6	16	47	35	37	45	93	42
g14203.t1	52.6947811516524	2.53126768813587	0.79245062559369	3.19422763562019	0.00140205514737643	0.00663097579363054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	19	29	43	163	77	34	11	10	14	0	19
g4896.t1	25.0963593143087	2.17711823592653	0.682503742702927	3.18989933638235	0.00142322358178655	0.00670679127109039	sp|Q6ZUK4|TMM26_HUMAN	32.971	276	157	8	73	867	62	320	7.95e-39	144	65	15	15	42	38	21	4	21	17	2	6	13
g18911.t1	516.995398445103	-0.663793268806094	0.180657914648401	-3.67431047844196	0.000238492589476287	0.00149909627670809	sp|Q8NHP8|PLBL2_HUMAN	50.766	522	245	7	16	1560	72	588	0	541	415	334	436	423	183	283	1069	618	704	993	770	591
g5008.t1	11.7965867638923	1.88560689461466	0.673118077321241	2.80130181931627	0.005089689206357	0.0191462276004745	sp|Q8NE09|RGS22_HUMAN	30.921	152	89	5	433	888	1035	1170	3.02e-12	72.4	21	25	18	5	2	31	13	4	4	6	1	11
g1710.t1	311.815391616579	0.799064605456947	0.265408221307884	3.01070027717792	0.00260645994409511	0.0110118338798141	sp|Q8HXX8|GCDH_MACFA	74.048	420	102	3	97	1356	26	438	0	670	380	262	318	505	256	256	349	268	311	238	224	261
g255.t1	52.214758891281	3.76528355630473	1.18455550094456	3.17864680321211	0.00147964269155594	0.00691441620540938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	142	231	2	0	147	14	20	2	1	0	16
g11675.t1	6339.90190253	4.44460389203296	0.541919211578909	8.20159868310146	2.37211047170388e-16	2.47052782106181e-14	sp|A2ALS5|RPGP1_MOUSE	53.052	426	180	5	133	1401	1	409	2.41e-152	462	9162	4530	3864	4517	18093	10370	805	618	629	786	243	465
g15189.t1	166.155986132368	0.871649268626274	0.294050413693176	2.96428512947371	0.00303387034688957	0.0124092712329429	sp|Q5ZLW3|DYM_CHICK	50.142	704	310	12	1	2094	1	669	0	632	221	110	148	204	189	165	183	142	136	157	113	115
g10265.t1	85.2313337791764	-2.76892831989048	0.525793924548715	-5.26618545900284	1.39287575575802e-07	2.3944255748676e-06	sp|Q21281|MUP4_CAEEL	38.559	236	131	7	367	1062	392	617	2.29e-31	133	24	32	13	38	7	2	202	316	123	183	112	164
g21245.t1	97.7452449327589	2.45664768573289	0.328497920039855	7.47842691191115	7.52175134228272e-14	5.09708396944992e-12	sp|Q53B90|RAB43_RAT	67.333	150	49	0	1	450	1	150	2.99e-74	224	153	148	135	89	137	142	58	34	34	36	17	45
g8032.t1	83.575015878742	-1.18200536564301	0.400862283175191	-2.94865697086905	0.00319158012384661	0.0129087252272085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	47	30	59	20	35	99	99	46	126	338	149
g21793.t1	143.550721571302	-1.46216032884108	0.230142426068245	-6.35328458911573	2.10765261736842e-10	7.20206601188023e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	71	67	61	40	61	251	294	307	257	220	203
g18581.t1	172.880448917995	-2.3267619942385	0.383145753599191	-6.07278554539984	1.25710289150979e-09	3.58283473300752e-08	sp|Q761V0|SC6A5_MOUSE	23.492	315	205	10	37	948	485	774	4.02e-18	91.3	34	97	90	16	18	60	725	349	289	267	280	311
g5128.t1	30.2943968585494	1.30017407435693	0.342963591740953	3.7909973701785	0.000150043543132506	0.00100818550944902	sp|Q9H165|BC11A_HUMAN	79.381	97	18	1	712	1002	739	833	1.83e-44	166	39	31	53	28	25	40	32	13	8	23	28	30
g19167.t1	1139.21525997555	-1.79058142115846	0.281065803083837	-6.37068402314443	1.88186992788359e-10	6.49859139117471e-09	sp|Q76I76|SSH2_HUMAN	51.805	471	210	6	1	1377	1	466	6.41e-149	491	243	320	543	658	294	552	3299	1834	1674	2431	2151	1773
g17621.t1	26.0040430277095	-2.00178729056705	0.378331685535058	-5.29109077326158	1.215889956556e-07	2.12943876112402e-06	sp|Q5ZKJ5|MF13A_CHICK	28.571	434	280	6	70	1311	30	453	7.94e-49	177	14	16	15	5	3	6	78	67	38	51	55	24
g4892.t1	1675.35030830972	1.74606427237969	0.31187450668335	5.59861173312408	2.1607512016254e-08	4.6036461945403e-07	sp|P34885|KPC1B_CAEEL	51.449	138	51	2	166	531	161	298	1.13e-31	123	2271	2615	1533	2301	2103	1708	938	1139	1161	821	793	683
g7781.t1	563.581002039936	-1.24740702714558	0.230792091168148	-5.40489503271914	6.48463569688358e-08	1.23642420750224e-06	sp|B9EJ86|OSBL8_MOUSE	42.541	362	166	6	1	1086	570	889	5.02e-82	270	346	227	365	366	176	223	1429	1104	1001	809	894	694
g15387.t1	326.541454224857	1.37453426538552	0.189825393442224	7.24104525985814	4.45239776762321e-13	2.5640573026489e-11	sp|Q5FVN8|WSDU1_RAT	40.726	496	255	10	1	1452	1	469	1.63e-115	351	418	462	348	475	269	404	301	198	182	182	275	197
g13606.t1	56.3990878530776	3.09778786379854	1.18183458714625	2.62116872994781	0.00876288796579764	0.0298395384991857	sp|Q8N2R8|FA43A_HUMAN	30.476	210	137	3	10	630	52	255	1.25e-26	109	13	94	153	0	1	271	1	17	26	2	17	16
g16500.t1	358.551815296457	1.91542144503133	0.294350478272514	6.50728157899579	7.65228962065341e-11	2.86485336084883e-09	sp|Q8NFG4|FLCN_HUMAN	46.644	581	270	10	1	1662	1	568	2.82e-169	495	876	362	481	326	416	394	245	175	142	190	231	135
g12934.t1	58.0400221096421	-1.00074092766803	0.329312515093947	-3.03887912484146	0.00237460109666011	0.0101850360290482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	33	52	54	14	15	148	107	81	110	65	76
g17472.t1	2.28926962187823	-3.12865623128636	1.21547177759412	-2.57402622500965	0.0100522653536261	0.0332921778795669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	0	1	5	3	3	7	9
g4693.t1	157.67638376814	-1.32231103717629	0.339223021627602	-3.89805807056314	9.69671664285087e-05	0.000691160217936003	sp|Q7SX99|FUMH_DANRE	72.436	468	129	0	1261	2664	42	509	0	683	112	157	94	93	25	29	376	296	228	289	317	163
g4307.t1	38.8151455270263	-1.37657025328436	0.305476356272762	-4.506307034955	6.59656180840144e-06	6.92922104122855e-05	sp|Q9DAZ9|ANCHR_MOUSE	51.02	98	47	1	259	552	287	383	1.24e-25	104	21	16	32	24	7	14	93	55	77	67	72	53
g3597.t2	845.234603111994	-0.721655703659962	0.260900226987432	-2.76602175472513	0.00567447491586227	0.0209239583526522	sp|Q86UP2|KTN1_HUMAN	36	300	161	9	2095	2964	1013	1291	3.24e-33	143	732	446	560	510	513	388	1772	1055	1113	1597	1482	827
g3968.t1	18.8223828081249	-1.94991239331894	0.43374329048795	-4.49554479822693	6.93920460641634e-06	7.21586518115388e-05	sp|Q4KMJ1|CHAC2_DANRE	55.556	180	80	0	1	540	1	180	4.58e-74	224	13	11	4	4	4	5	85	56	25	21	25	23
g21312.t1	22.8057371386136	-1.79611028814721	0.450654601530813	-3.98555852319285	6.7321581234652e-05	0.000507642515973474	sp|Q5XI52|VEZA_RAT	27.576	660	361	24	16	1821	5	605	8.28e-31	133	10	2	10	13	3	15	50	51	22	45	57	35
g11647.t1	1070.60606749932	1.94968411485134	0.501701852261115	3.88614095416298	0.000101850382622326	0.000721240684175456	sp|Q3ZBG9|PLS2_BOVIN	55.242	248	99	5	292	1035	53	288	1.56e-83	258	1821	548	798	548	2079	1867	316	465	553	401	402	754
g5397.t1	17.3057512242596	-1.37489242809877	0.465329410057642	-2.95466479956309	0.00313008930138737	0.0127072669544194	sp|Q96SZ6|CK5P1_HUMAN	60.823	559	187	5	331	1962	55	596	0	691	10	12	12	11	3	4	48	31	23	56	11	23
g14315.t1	453.984193765079	-0.923086971116572	0.364758640760331	-2.53067883242579	0.01138420351106	0.0367704890706953	sp|Q0J290|PAO7_ORYSJ	33.446	296	175	9	91	924	180	471	7.01e-42	154	365	525	328	127	189	147	957	904	287	853	690	731
g10176.t1	2.83935810287192	-3.11008966789502	1.19949811543026	-2.59282580596588	0.00951909708713959	0.0319039531043093	sp|Q9MYM7|B3GT1_PONPY	46.939	98	51	1	4	294	94	191	3.27e-25	90.9	0	1	0	2	0	0	5	6	9	1	6	9
g16625.t2	260.699105639428	1.46908878959333	0.174360700588093	8.42557287644698	3.58989463234404e-17	4.20899023361055e-15	sp|Q9C0B0|UNK_HUMAN	52.82	532	185	9	28	1458	20	540	5.72e-163	495	304	331	293	413	249	307	233	118	130	211	142	187
g20552.t1	15.8824389976582	2.44452404523307	0.97031183011109	2.51931798559356	0.0117582414780139	0.0377296571844498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	26	24	0	9	37	24	3	2	2	0	11
g22677.t1	184.483181859347	-0.516232036947358	0.214789936708694	-2.40342748295275	0.0162421880774197	0.0491533296067816	sp|Q91YT0|NDUV1_MOUSE	83.032	442	73	1	85	1404	14	455	0	754	123	181	187	127	82	87	383	215	268	251	282	219
g9752.t1	610.216015285147	1.11555536810015	0.338630055105821	3.29431883342883	0.000986605202315547	0.00495453446046125	sp|Q8R5F7|IFIH1_MOUSE	29.971	694	402	25	79	2001	309	971	4.62e-61	225	853	422	507	509	951	616	573	384	337	507	575	380
g22278.t1	147.14298186914	1.74774570264337	0.413035772067132	4.23146327955173	2.32175902532699e-05	0.000207201648659537	sp|P37892|CBPE_LOPAM	48.984	443	200	9	1	1296	1	428	2.67e-134	397	222	509	241	63	42	217	98	105	66	79	57	73
g17927.t1	3923.83788085432	1.0338351981003	0.20217952510287	5.11345151085046	3.16324982763496e-07	4.89616060277411e-06	sp|Q9IA76|RL31_PAROL	81.356	118	22	0	7	360	5	122	1.93e-66	199	4621	4989	3077	4269	3961	4856	3379	2482	2779	3212	3392	3328
g8124.t1	17.7549011023232	-3.81192599744499	0.834480312696473	-4.56802388198643	4.92343946359116e-06	5.38552763671033e-05	sp|Q9FXA7|RGXT3_ARATH	27.863	262	162	8	274	993	82	338	7.9e-23	101	4	0	6	0	2	0	67	19	11	46	34	75
g14631.t1	10.6031950827373	-1.54118270889168	0.58784117182822	-2.6217672098375	0.00874751586085342	0.0297975575079175	sp|Q2KHY7|TTC23_BOVIN	35.233	386	244	3	301	1458	37	416	1.52e-67	227	6	9	8	1	1	5	14	17	16	22	35	10
g11169.t1	3973.13178123646	1.17770804289355	0.282629563401681	4.16696692560701	3.08679263105174e-05	0.000262209977075892	sp|Q76B49|CD63_FELCA	41.35	237	137	1	1	705	1	237	2.76e-47	159	7067	3770	3154	5458	4209	3537	4384	2992	2895	2978	2105	2688
g22597.t1	10.768594698683	-2.26490974552403	0.628663509982719	-3.60273772782881	0.000314883199152118	0.00188084595466701	sp|Q9H0J4|QRIC2_HUMAN	43.038	79	39	2	1	231	666	740	4.87e-08	52	5	3	12	2	1	0	48	22	10	23	17	18
g12011.t1	870.948029954865	-0.854001649617904	0.247964716182504	-3.44404503497728	0.000573080237377855	0.00311951933496203	sp|Q4V9H3|DRAXI_DANRE	33.803	71	45	1	520	732	262	330	2.43e-07	55.1	788	771	618	480	332	272	1675	1106	1013	1619	1706	1199
g16945.t1	39.1216056152428	3.94294427042322	0.520827667240444	7.57053535829717	3.7168924483035e-14	2.6368389180356e-12	sp|Q4TZY1|KCJ12_BOVIN	50.382	393	181	4	211	1389	47	425	1.89e-123	371	60	31	39	40	99	50	7	5	5	5	4	6
g22686.t1	2.17115532556853	4.73526410333911	1.70043294838769	2.78474026737072	0.00535706155094011	0.019977143980832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	6	0	3	1	0	0	0	0	0	0
g14074.t1	4.94673479385616	-3.99001703722316	0.966650114591217	-4.12767450910662	3.66450315965693e-05	0.000303386773218108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1	29	10	9	8	11	7
g6551.t1	34.185017695842	1.61683028673463	0.462304542273601	3.4973272786443	0.000469944914870014	0.00264487537601462	sp|Q8K2W6|PHF13_MOUSE	78.462	65	14	0	298	492	223	287	3.08e-33	122	40	45	58	30	37	45	38	23	18	15	3	31
g8832.t1	163.396839189327	2.463993772037	0.592932152383139	4.15560829705997	3.24423228106649e-05	0.000273684050251107	sp|P98198|AT8B2_HUMAN	53.218	404	168	7	130	1314	432	823	1.21e-129	406	153	67	172	67	412	299	51	80	17	37	44	84
g2073.t1	4.41195772872484	5.78962426362959	1.30100056699696	4.4501320064706	8.58175239685907e-06	8.65245684503093e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	3	3	2	12	6	0	0	0	0	0	0
g2996.t1	84.2248055064604	1.78158086179507	0.718758799797945	2.47869085191848	0.0131865543320084	0.0414031701070735	sp|O34309|RPH_BACSU	32.877	365	209	12	1339	2415	17	351	6.99e-45	180	68	183	210	23	3	233	53	61	52	15	32	63
g23365.t1	66.3657942486513	2.11739950357675	0.671245789898502	3.15443245297213	0.00160810599390238	0.00740863890837849	sp|Q9JII1|INP5E_MOUSE	52.575	369	169	2	1738	2844	256	618	6.92e-93	311	53	155	69	18	8	266	38	33	33	35	16	28
g14888.t1	87.9418363327493	1.91488832851757	0.425477727683537	4.50056067315898	6.77744553267259e-06	7.08501780724662e-05	sp|Q9YGN6|SMUG1_XENLA	55.785	242	105	2	124	849	30	269	4.79e-89	270	104	192	113	49	138	72	76	37	23	45	62	37
g19546.t2	2130.9054817105	-2.4349003236838	0.541073660390058	-4.50012725056417	6.79127953379224e-06	7.09569120980001e-05	sp|Q8VI36|PAXI_MOUSE	53.977	176	70	3	877	1371	251	426	1.22e-51	187	422	440	384	1646	457	120	7907	4887	4165	4963	2337	2945
g1955.t1	113.750952488999	1.69203783497945	0.550582105830688	3.07317985285155	0.00211790801359314	0.00926880619270309	sp|Q6B4U9|PRDX1_MYOLU	75.253	198	49	0	1	594	1	198	5.67e-112	320	133	55	144	266	172	42	104	42	103	49	30	57
g21506.t1	82.4060920453043	-0.927831916233078	0.307667966411966	-3.01569229664526	0.00256393303994395	0.0108567925869599	sp|Q568K9|FA50A_DANRE	68.129	342	93	3	1	981	1	341	2.83e-143	411	59	71	66	72	15	25	204	145	85	127	135	119
g14820.t1	464.124463038702	3.32282654009365	0.347753804059803	9.55511198239034	1.23450340239955e-21	2.59909426010571e-19	sp|P15336|ATF2_HUMAN	40.385	416	214	13	4	1170	19	427	7.59e-71	235	756	864	473	472	768	693	124	83	81	119	51	158
g6307.t1	448.569404684164	1.26614028451468	0.296816666475888	4.26573177155985	1.99248046546321e-05	0.000182099236845783	sp|E9PYK3|PARP4_MOUSE	45.526	380	198	6	1	1128	836	1210	8.49e-93	338	835	534	446	435	547	319	534	352	255	313	268	271
