transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_accession_ID	gene	V5	V6	V7	V8	V9	V10	V11	V12	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
22	g7738.t1	105.270852696061	1.45561495052598	0.395757597257021	3.67804676553221	0.00023502687455897	0.0478680617925282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208	525	176	58	26	101	45	46	29	19	18	13
23	g7540.t1	29.9372697216083	3.27242252287004	0.856557340615625	3.82043602652227	0.000133215956508008	0.0319115773515419	sp|B1AWI6|MSMP_MOUSE	30.645	62	43	0	331	516	46	107	8.85e-06	47	80	179	31	1	1	3	38	26	13	7	0	15
24	g23102.t1	290.629996402288	-2.04002457186818	0.534794364724866	-3.81459623815914	0.000136405771950907	0.0319115773515419	sp|G5EGQ6|TEN1_CAEEL	26.997	363	182	17	11185	12156	441	759	3.09e-25	120	126	90	122	51	370	401	305	177	35	614	575	501
25	g22928.t1	14.6400998297497	4.08741806428358	1.05416676731388	3.87739225995402	0.000105582057833985	0.0281300369237359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	52	40	1	0	0	16	36	0	1	2	5
26	g16019.t1	607.441005018213	3.38970285641531	0.818880164112719	4.13943700796338	3.48159180253081e-05	0.018735627206684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2507	2439	1001	19	98	18	1117	442	157	162	2	121
27	g23109.t1	287.535399322978	-1.7946332024491	0.435120998561353	-4.1244463227073	3.71627644481845e-05	0.018735627206684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124	69	110	158	401	285	295	306	78	459	528	468
28	g17025.t1	1257.37120799715	-1.58675663111644	0.406015076061421	-3.90812244340503	9.30161654091966e-05	0.0263982927141641	sp|Q27433|MEC2_CAEEL	71.318	258	73	1	34	804	112	369	1.02e-105	318	1185	870	1071	644	1342	2914	353	473	445	914	2008	1337
29	g21236.t1	219.949978147242	6.45489025285383	1.49101846946422	4.3291819551862	1.49664241660559e-05	0.0116008023619062	sp|Q95218|DMBT1_RABIT	42.92	226	121	3	397	1062	701	922	3.6e-46	172	416	2253	3	4	0	7	0	68	1	2	0	0
30	g1727.t1	5.68265998871012	5.56089837442946	1.41587192600436	3.9275433549435	8.58179545249754e-05	0.0263573916146303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	25	15	0	0	0	24	3	0	0	0	0
31	g11893.t1	20.2370579723818	3.18987137771244	0.799590713313792	3.98938022240461	6.62461603153153e-05	0.0238927818203904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	55	33	4	5	0	71	11	81	1	5	5
32	g23110.t1	96.3850362125322	-1.8547599698476	0.477965353820281	-3.88053224992747	0.000104228122768381	0.0281300369237359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	18	28	43	130	124	81	98	25	197	146	147
33	g22869.t1	53.9742328169028	2.49957857669184	0.606685709967711	4.12005513831019	3.78781742279309e-05	0.018735627206684	sp|O76536|HYAL_STRPU	32.811	1149	698	44	1978	5265	69	1196	4.37e-98	350	82	197	87	10	2	53	71	47	115	7	9	11
34	g290.t2	1220.73386549763	-1.1377000483768	0.299856361614238	-3.79415011324801	0.000148150028746874	0.0337470170745511	sp|D4PHA7|WSCD2_MOUSE	34.737	95	58	3	496	777	136	227	2.25e-09	64.3	1249	531	770	877	1222	1072	1030	867	900	2124	2339	1414
35	g7003.t1	34.3251823341985	-4.10913290355383	1.04815362445683	-3.92035366541163	8.84191131489586e-05	0.0263573916146303	sp|Q2YDW7|KMT5A_MOUSE	45	80	33	4	34	261	276	348	2.94e-06	54.3	1	3	20	8	53	6	1	2	2	4	202	78
36	g12021.t1	4805.47555075692	-1.83978368802347	0.474173616379748	-3.87997902976968	0.000104465470960482	0.0281300369237359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4708	1171	2131	8137	13191	8072	362	253	331	374	545	754
37	g9649.t1	3258.53072822551	-2.25489615390181	0.557241815523436	-4.04653077189426	5.19822940457549e-05	0.0219492066956124	sp|Q0D4Z6|GH38_ORYSJ	27.728	559	366	16	298	1896	42	588	3.55e-47	179	2001	954	1309	6648	6445	6889	413	730	295	258	2843	725
38	g1053.t1	32.1335143273115	1.75491602228877	0.464934666150066	3.77454328544806	0.000160301073853969	0.0351282555767078	sp|Q09LZ8|CBPC6_MOUSE	70.67	433	127	0	49	1347	20	452	0	684	55	76	51	6	5	20	80	38	50	18	4	28
39	g18243.t1	45.970862883937	-1.66770461075685	0.450812825162386	-3.69932823041611	0.000216170885693027	0.0450885587122612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	37	38	73	88	103	8	6	5	3	14	19
40	g23103.t1	87.6298203422741	-2.05805763189069	0.520986167763272	-3.95031146551637	7.80495582468927e-05	0.0255567539818358	sp|P22105|TENX_HUMAN	32.897	687	322	40	73	1977	148	747	1.22e-30	133	42	17	37	27	121	85	77	63	15	175	253	96
41	g23670.t1	62.411212338329	5.11332043433587	1.25456354833551	4.07577634558247	4.58610821721607e-05	0.0207349987957322	sp|P42674|BP10_PARLI	30.476	210	132	8	1	615	247	447	1.04e-16	81.3	72	607	22	0	1	12	1	58	4	0	0	2
42	g11068.t1	12.7763968288542	1.93300096433767	0.493779969040928	3.91470105215517	9.05162870668568e-05	0.0263573916146303	sp|Q9NQS7|INCE_HUMAN	51.2	125	53	4	3148	3516	785	903	6.95e-24	112	25	26	29	8	0	8	36	15	13	7	4	2
43	g1749.t1	47.1592959011449	-3.86969596820367	0.965981888300404	-4.00597155606323	6.17630817839369e-05	0.0232444015618156	sp|Q1JQC1|MFSD1_BOVIN	27.132	387	240	11	73	1191	60	418	5.65e-18	89.7	84	3	17	76	108	74	0	0	0	11	42	10
44	g22445.t1	388.804573203185	-0.849493923408036	0.220291513932604	-3.85622627146649	0.000115150907303173	0.0293160662828313	sp|A2RT67|DEND3_MOUSE	31.226	1313	744	38	331	3966	11	1265	4.48e-177	566	162	245	264	263	235	340	586	465	320	593	696	712
45	g8977.t1	43.4989392640091	4.94304185417918	0.982788407611691	5.0296094417632	4.91479909541189e-07	0.00092895127145199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279	138	49	1	0	3	34	65	0	3	1	3
46	g23378.t1	100.2213582271	7.76498949093218	1.52583192847692	5.08902019024021	3.59918295905298e-07	0.000778863192339066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233	904	3	4	0	0	1	122	2	0	0	0
47	g8557.t1	96.2907682947193	1.05108910608391	0.276307563356843	3.80405477618601	0.000142346681908349	0.0328574100959644	sp|A3KPW7|PTAR1_DANRE	42.47	332	151	5	13	951	9	319	1.02e-70	235	129	80	109	47	31	34	272	130	229	117	71	56
48	g20454.t1	100.759678936535	-1.40282385245223	0.36223235089173	-3.87271829531185	0.000107628203076055	0.0282312038129192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	80	102	210	174	197	27	15	12	16	28	32
49	g9442.t2	25.9545961325799	7.44493376166671	1.24065489794785	6.00080955145645	1.96336166472684e-09	3.3989717139751e-05	sp|Q9BY12|SCAPE_HUMAN	41.227	1499	715	35	286	4632	12	1394	0	809	104	88	90	0	0	0	32	28	0	0	0	0
50	g21823.t1	67.9401337083976	4.93654704974322	1.2731885500036	3.87731027720069	0.000105617629392493	0.0281300369237359	sp|Q9D7Z6|CLCA1_MOUSE	34.479	844	471	23	70	2562	23	797	3.09e-137	434	120	530	12	5	0	11	0	177	4	3	3	0
51	g6700.t1	5317.60680837202	-1.48100935471843	0.361075896979011	-4.10165665199336	4.10202650956872e-05	0.019193049441528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5795	2055	3594	7345	10676	7981	1854	1791	1257	2747	3733	2323
52	g14455.t1	253.320704630191	3.70021110207489	0.987361720428743	3.74757398987287	0.000178553175797592	0.0386389072425989	sp|A4QP81|FRRS1_DANRE	33.117	154	94	5	19	474	12	158	1.73e-16	80.9	132	2711	53	8	25	105	7	34	6	3	1	0
53	g19443.t1	210.405579572974	-2.28279947361885	0.539927327822166	-4.22797542555713	2.35803539002344e-05	0.0157008879508023	sp|A8WGS4|TLCD2_DANRE	32.609	184	118	3	16	564	6	184	1.07e-19	88.2	160	96	34	894	403	137	13	12	19	32	33	52
54	g5607.t1	79.6409319017185	5.09796233486813	1.2712446307308	4.01021346453001	6.06638784082489e-05	0.0232444015618156	sp|Q6ZMT9|DTHD1_HUMAN	33.333	483	255	17	679	2034	178	624	3.35e-61	225	55	913	1	2	2	1	1	8	3	2	0	0
55	g8842.t1	366.605940091141	2.36213357363027	0.531052754641144	4.4480205647864	8.66652341995719e-06	0.00789657123401573	sp|A7X4K1|WAP1_PHIOL	40.26	77	43	2	142	363	55	131	4.58e-09	53.9	1731	1535	376	120	26	222	272	189	64	45	16	57
56	g12333.t1	41.9410425871653	5.05722301644161	1.31303276781854	3.85155887986226	0.000117368301852716	0.0294475368358582	sp|Q6GNY1|MIB1_XENLA	39.655	116	67	1	70	417	497	609	4.79e-15	74.7	58	417	9	0	7	2	0	15	8	0	0	0
57	g15129.t1	91.5798867463762	3.62776210825354	0.907007645821184	3.99970399915322	6.34217583068453e-05	0.0233607974427256	sp|P35760|VA5_VESMC	38.983	177	84	5	55	531	31	201	5.93e-31	115	399	399	160	1	1	20	61	106	10	17	0	15
58	g8558.t1	502.49932893272	1.16822355424573	0.281154626892305	4.15509275859513	3.25155602692337e-05	0.018735627206684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	782	887	644	218	276	359	913	669	848	286	271	179
59	g21166.t1	17.1159701845425	6.48057157671064	1.65638061607805	3.91248938426678	9.13495550414635e-05	0.0263573916146303	sp|Q0VG85|CC162_MOUSE	34.664	952	508	14	4120	6798	1	897	1.24e-137	459	19	56	121	0	0	0	0	16	0	0	0	0
60	g15371.t1	7552.80695868478	-1.1049827169391	0.289417152297141	-3.81795863917777	0.000134560477462343	0.0319115773515419	sp|Q07981|FAR1_CORAP	32.653	98	66	0	343	50	56	153	8.81e-13	66.6	4528	2362	2970	4701	4326	3838	9794	8884	6536	12089	24068	12209
61	g782.t1	291.318492883915	5.80341427914414	1.31722936203979	4.40577354740809	1.05407038080272e-05	0.00912403321622833	sp|P17945|HGF_RAT	34.074	405	185	19	109	1290	134	467	1.2e-45	172	775	2775	7	3	8	4	0	70	7	4	0	0
62	g47.t1	21.2802085771347	1.61180665839654	0.431954866533767	3.73142377427189	0.000190400623759822	0.0406940197349387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	32	49	11	8	21	37	32	15	3	8	4
63	g1664.t1	404.989724704207	1.05319524326788	0.267305744804201	3.94003968765931	8.14681302099132e-05	0.025868472201847	sp|Q7ZWX9|MIDNB_XENLA	39.206	403	213	8	64	1194	7	403	3.91e-59	203	646	1049	585	163	158	271	554	461	460	322	178	270
64	g17121.t1	54.1260446870118	-2.19333596535286	0.530505643368335	-4.13442532189994	3.55843935665231e-05	0.018735627206684	sp|A2APV2|FMNL2_MOUSE	36.148	379	236	3	403	1521	609	987	5.14e-66	239	24	33	24	122	118	113	6	5	1	2	7	15
65	g7620.t1	84093.3435684364	-0.709082992066137	0.14862467908208	-4.77096399094351	1.8334631891554e-06	0.00226720819504702	sp|P42577|FRIS_LYMST	67.262	168	55	0	1	504	3	170	6.25e-82	243	79234	72482	77426	81989	64505	113873	84437	59090	66913	104441	96111	86465
66	g21577.t1	146.216026835777	-1.36418174750692	0.347906983528036	-3.92111056142967	8.81418075897024e-05	0.0263573916146303	sp|Q9YHT4|HEM0_DANRE	53.819	576	237	9	16	1680	5	572	0	600	105	186	97	154	139	336	77	52	41	97	210	86
67	g5221.t1	291.330034934868	2.45751447419643	0.64398981262016	3.81607663046361	0.000135590410499971	0.0319115773515419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1154	219	838	33	26	16	755	196	228	226	224	106
68	g15734.t1	27.1764216439126	7.38196361229623	1.47263938448404	5.01274357461424	5.36593849036501e-07	0.00092895127145199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	282	2	0	0	0	9	32	2	0	0	0
69	g15722.t1	763.321732766577	3.9486713352814	0.938643785042219	4.20678365766178	2.59030896814162e-05	0.0160155103058813	sp|P0DSP1|SORL_RAT	28.444	559	253	24	934	2562	1122	1549	6.19e-27	123	2182	6606	113	12	24	56	71	416	22	55	51	21
70	g3730.t1	248.376634734204	-0.631120149863076	0.155670113515565	-4.05421526078589	5.03028800633342e-05	0.021771086491411	sp|Q9D8T7|SLIRP_MOUSE	48.81	84	43	0	40	291	22	105	4.99e-24	91.7	206	197	208	292	154	248	307	212	241	351	258	340
71	g6273.t1	37.8986619595852	-4.86368971969742	1.18289025159692	-4.11169989196493	3.92756618645006e-05	0.0188872293943954	sp|Q9QXP4|DONS_MOUSE	32.639	576	294	15	28	1716	9	503	1.84e-78	262	5	2	0	0	82	1	5	1	5	190	12	119
72	g11097.t1	81.277483332843	2.74138633857317	0.568907932238507	4.81868186964192	1.44509761474787e-06	0.00199430224847398	sp|P83609|BMTIA_RHIMP	53.846	65	30	0	37	231	57	121	9.74e-16	73.9	376	270	186	12	6	7	80	40	25	23	18	15
73	g4312.t1	670.343954099023	-1.74272329756561	0.433706781124703	-4.01820624765498	5.86428574721204e-05	0.0230732988308488	sp|Q9Y662|HS3SB_HUMAN	29.577	284	152	6	247	1080	135	376	2.45e-32	128	275	144	331	548	1195	723	630	510	312	891	975	618
74	g9118.t1	8.74565691128097	3.98263655230383	1.05306017365582	3.78196484107613	0.000155595342524193	0.0345341867920363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	3	45	0	1	1	4	2	2	0	0	1
75	g11899.t1	229.077310394709	1.83982721211844	0.405274036598007	4.53971151856286	5.63312458886932e-06	0.00541781404902809	sp|Q8VI93|OAS3_MOUSE	25.963	701	425	24	4	1965	452	1105	4.66e-43	171	754	648	294	110	81	225	285	79	242	57	27	28
76	g10969.t1	419.64044204399	4.7807320585067	1.17419411292944	4.07150061975654	4.67112380449143e-05	0.0207349987957322	sp|Q28062|PGCB_BOVIN	33.835	133	77	3	82	474	689	812	1.37e-20	91.3	752	4319	11	11	2	6	3	114	5	19	5	7
77	g6502.t1	516.421235167322	5.0249998991729	1.27224040123923	3.9497251417879	7.82409866588088e-05	0.0255567539818358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	807	5002	155	5	1	210	2	192	15	4	0	0
78	g15835.t2	19.2532393891969	4.26740756632961	1.0756876994489	3.96714359429405	7.27391709240085e-05	0.0253440816852789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	90	64	7	0	8	32	12	0	0	0	0
79	g10014.t1	71.3109637084282	-1.93287072134275	0.379571843035885	-5.09223947140888	3.53858767223216e-07	0.000778863192339066	sp|Q07537|GALT1_BOVIN	54.344	587	226	9	22	1764	7	557	0	653	27	31	58	135	79	139	39	28	10	42	57	104
80	g11353.t1	1546.9859830179	-1.64488302896579	0.353631458665733	-4.65140470017009	3.2968162138171e-06	0.00380496548624011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1449	368	732	1523	1536	2109	1472	970	443	2114	3045	2076
81	g13916.t2	28.8462249907526	3.70374556331713	0.959518573151416	3.86000403426548	0.000113385153119036	0.0292973697133845	sp|Q2TAF4|INT6A_XENLA	52.626	933	384	14	1	2778	1	882	0	889	82	49	55	38	4	12	61	11	59	0	0	0
82	g3179.t1	19.7850296882733	7.07325383901893	1.33754153481035	5.28824986359908	1.23492214429104e-07	0.000427579443239329	sp|Q2V2M9|FHOD3_HUMAN	51.136	528	233	7	4597	6111	889	1414	1.04e-155	523	34	143	35	0	0	0	19	26	0	0	0	0
83	g23101.t1	17.3615811681148	-2.41069316506004	0.563418402150584	-4.27869085542531	1.8799575299957e-05	0.013560760316369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	4	25	37	8	9	5	39	19	26
84	g10608.t1	734.159135198804	5.45598241980816	1.25110135981498	4.36094356145134	1.29502770224192e-05	0.0106759617053391	sp|Q6UXS0|CL19A_HUMAN	40.625	160	85	4	430	888	25	181	1.72e-29	114	1712	7235	17	8	2	8	12	176	14	28	0	9
85	g1748.t1	221.750530202103	-1.80033910769602	0.392490969667476	-4.58695676290664	4.49753778693047e-06	0.00486633588545877	sp|Q06806|TIE1_MOUSE	46.333	300	148	4	2776	3648	832	1127	4.92e-77	281	115	65	216	156	218	450	122	78	90	249	465	240
