Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCA_032158295.1		Primary Assembly	Un			JASTWB010000097.1	Chromosome			unplaced-scaffold	60098		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000098.1	Chromosome			unplaced-scaffold	58924		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000099.1	Chromosome			unplaced-scaffold	58757		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000100.1	Chromosome			unplaced-scaffold	57870		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000101.1	Chromosome			unplaced-scaffold	57608		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000102.1	Chromosome			unplaced-scaffold	57563		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000103.1	Chromosome			unplaced-scaffold	57308		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000104.1	Chromosome			unplaced-scaffold	56856		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000105.1	Chromosome			unplaced-scaffold	56294		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000106.1	Chromosome			unplaced-scaffold	54019		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000107.1	Chromosome			unplaced-scaffold	53572		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000108.1	Chromosome			unplaced-scaffold	53533		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000109.1	Chromosome			unplaced-scaffold	53084		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000110.1	Chromosome			unplaced-scaffold	52809		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000111.1	Chromosome			unplaced-scaffold	52782		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000112.1	Chromosome			unplaced-scaffold	51469		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000113.1	Chromosome			unplaced-scaffold	51440		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000114.1	Chromosome			unplaced-scaffold	51227		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000115.1	Chromosome			unplaced-scaffold	50825		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000116.1	Chromosome			unplaced-scaffold	50609		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000117.1	Chromosome			unplaced-scaffold	50232		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000118.1	Chromosome			unplaced-scaffold	50129		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000119.1	Chromosome			unplaced-scaffold	50012		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000120.1	Chromosome			unplaced-scaffold	49898		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000121.1	Chromosome			unplaced-scaffold	49085		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000122.1	Chromosome			unplaced-scaffold	48713		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000123.1	Chromosome			unplaced-scaffold	48406		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000124.1	Chromosome			unplaced-scaffold	48316		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000125.1	Chromosome			unplaced-scaffold	47548		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000126.1	Chromosome			unplaced-scaffold	47401		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000127.1	Chromosome			unplaced-scaffold	47228		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000128.1	Chromosome			unplaced-scaffold	47076		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000129.1	Chromosome			unplaced-scaffold	46887		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000130.1	Chromosome			unplaced-scaffold	46500		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000131.1	Chromosome			unplaced-scaffold	45668		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000132.1	Chromosome			unplaced-scaffold	45418		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000133.1	Chromosome			unplaced-scaffold	44986		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000134.1	Chromosome			unplaced-scaffold	43989		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000135.1	Chromosome			unplaced-scaffold	43642		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000136.1	Chromosome			unplaced-scaffold	42960		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000137.1	Chromosome			unplaced-scaffold	41660		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000138.1	Chromosome			unplaced-scaffold	41187		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000139.1	Chromosome			unplaced-scaffold	41145		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000140.1	Chromosome			unplaced-scaffold	40978		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000141.1	Chromosome			unplaced-scaffold	40952		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000142.1	Chromosome			unplaced-scaffold	40308		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000143.1	Chromosome			unplaced-scaffold	40270		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000144.1	Chromosome			unplaced-scaffold	40175		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000145.1	Chromosome			unplaced-scaffold	40056		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000146.1	Chromosome			unplaced-scaffold	39946		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000147.1	Chromosome			unplaced-scaffold	39696		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000148.1	Chromosome			unplaced-scaffold	39373		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000149.1	Chromosome			unplaced-scaffold	39211		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000150.1	Chromosome			unplaced-scaffold	39120		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000151.1	Chromosome			unplaced-scaffold	38954		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000152.1	Chromosome			unplaced-scaffold	38735		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000153.1	Chromosome			unplaced-scaffold	38348		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000154.1	Chromosome			unplaced-scaffold	38124		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000155.1	Chromosome			unplaced-scaffold	37882		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000156.1	Chromosome			unplaced-scaffold	37866		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000157.1	Chromosome			unplaced-scaffold	37828		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000158.1	Chromosome			unplaced-scaffold	37787		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000159.1	Chromosome			unplaced-scaffold	37388		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000160.1	Chromosome			unplaced-scaffold	37283		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000161.1	Chromosome			unplaced-scaffold	37155		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000162.1	Chromosome			unplaced-scaffold	37128		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000163.1	Chromosome			unplaced-scaffold	36338		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000164.1	Chromosome			unplaced-scaffold	36231		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000165.1	Chromosome			unplaced-scaffold	35881		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000166.1	Chromosome			unplaced-scaffold	35871		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000167.1	Chromosome			unplaced-scaffold	35859		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000168.1	Chromosome			unplaced-scaffold	35811		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000169.1	Chromosome			unplaced-scaffold	35614		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000170.1	Chromosome			unplaced-scaffold	35577		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000171.1	Chromosome			unplaced-scaffold	35250		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000172.1	Chromosome			unplaced-scaffold	35243		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000173.1	Chromosome			unplaced-scaffold	35228		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000174.1	Chromosome			unplaced-scaffold	34981		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000175.1	Chromosome			unplaced-scaffold	34722		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000176.1	Chromosome			unplaced-scaffold	34709		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000177.1	Chromosome			unplaced-scaffold	34695		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000178.1	Chromosome			unplaced-scaffold	34667		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000179.1	Chromosome			unplaced-scaffold	34521		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000180.1	Chromosome			unplaced-scaffold	34460		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000181.1	Chromosome			unplaced-scaffold	34445		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000182.1	Chromosome			unplaced-scaffold	34437		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000183.1	Chromosome			unplaced-scaffold	34387		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000184.1	Chromosome			unplaced-scaffold	34206		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000185.1	Chromosome			unplaced-scaffold	34107		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000186.1	Chromosome			unplaced-scaffold	34054		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000187.1	Chromosome			unplaced-scaffold	34041		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000188.1	Chromosome			unplaced-scaffold	33926		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000189.1	Chromosome			unplaced-scaffold	33838		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000190.1	Chromosome			unplaced-scaffold	33673		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000191.1	Chromosome			unplaced-scaffold	33621		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000192.1	Chromosome			unplaced-scaffold	33398		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000193.1	Chromosome			unplaced-scaffold	33248		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000194.1	Chromosome			unplaced-scaffold	33170		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000195.1	Chromosome			unplaced-scaffold	33043		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000196.1	Chromosome			unplaced-scaffold	33010		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000197.1	Chromosome			unplaced-scaffold	32972		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000198.1	Chromosome			unplaced-scaffold	32789		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000199.1	Chromosome			unplaced-scaffold	32759		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000200.1	Chromosome			unplaced-scaffold	32742		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000201.1	Chromosome			unplaced-scaffold	32692		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000202.1	Chromosome			unplaced-scaffold	32486		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000203.1	Chromosome			unplaced-scaffold	32399		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000204.1	Chromosome			unplaced-scaffold	32398		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000205.1	Chromosome			unplaced-scaffold	32221		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000206.1	Chromosome			unplaced-scaffold	32135		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000207.1	Chromosome			unplaced-scaffold	32001		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000208.1	Chromosome			unplaced-scaffold	31957		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000209.1	Chromosome			unplaced-scaffold	31910		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000210.1	Chromosome			unplaced-scaffold	31790		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000211.1	Chromosome			unplaced-scaffold	31776		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000212.1	Chromosome			unplaced-scaffold	31758		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000213.1	Chromosome			unplaced-scaffold	31464		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000214.1	Chromosome			unplaced-scaffold	31451		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000215.1	Chromosome			unplaced-scaffold	31323		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000216.1	Chromosome			unplaced-scaffold	31241		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000217.1	Chromosome			unplaced-scaffold	31184		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000218.1	Chromosome			unplaced-scaffold	31159		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000219.1	Chromosome			unplaced-scaffold	31138		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000220.1	Chromosome			unplaced-scaffold	31072		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000221.1	Chromosome			unplaced-scaffold	31051		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000222.1	Chromosome			unplaced-scaffold	30988		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000223.1	Chromosome			unplaced-scaffold	30962		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000224.1	Chromosome			unplaced-scaffold	30878		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000225.1	Chromosome			unplaced-scaffold	30841		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000226.1	Chromosome			unplaced-scaffold	30687		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000227.1	Chromosome			unplaced-scaffold	30687		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000228.1	Chromosome			unplaced-scaffold	30462		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000229.1	Chromosome			unplaced-scaffold	30332		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000230.1	Chromosome			unplaced-scaffold	30288		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000231.1	Chromosome			unplaced-scaffold	30210		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000232.1	Chromosome			unplaced-scaffold	30031		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000233.1	Chromosome			unplaced-scaffold	29986		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000234.1	Chromosome			unplaced-scaffold	29909		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000235.1	Chromosome			unplaced-scaffold	29873		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000236.1	Chromosome			unplaced-scaffold	29863		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000237.1	Chromosome			unplaced-scaffold	29784		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000238.1	Chromosome			unplaced-scaffold	29704		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000239.1	Chromosome			unplaced-scaffold	29396		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000240.1	Chromosome			unplaced-scaffold	29389		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000241.1	Chromosome			unplaced-scaffold	29282		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000242.1	Chromosome			unplaced-scaffold	29188		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000243.1	Chromosome			unplaced-scaffold	29098		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000244.1	Chromosome			unplaced-scaffold	29014		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000245.1	Chromosome			unplaced-scaffold	28777		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000246.1	Chromosome			unplaced-scaffold	28695		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000247.1	Chromosome			unplaced-scaffold	28609		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000248.1	Chromosome			unplaced-scaffold	28353		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000249.1	Chromosome			unplaced-scaffold	28298		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000250.1	Chromosome			unplaced-scaffold	28279		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000251.1	Chromosome			unplaced-scaffold	28081		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000252.1	Chromosome			unplaced-scaffold	27940		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000253.1	Chromosome			unplaced-scaffold	27930		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000254.1	Chromosome			unplaced-scaffold	27907		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000255.1	Chromosome			unplaced-scaffold	27790		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000256.1	Chromosome			unplaced-scaffold	27733		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000257.1	Chromosome			unplaced-scaffold	27661		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000258.1	Chromosome			unplaced-scaffold	27432		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000259.1	Chromosome			unplaced-scaffold	27386		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000260.1	Chromosome			unplaced-scaffold	27276		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000261.1	Chromosome			unplaced-scaffold	27210		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000262.1	Chromosome			unplaced-scaffold	27201		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000263.1	Chromosome			unplaced-scaffold	27079		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000264.1	Chromosome			unplaced-scaffold	26845		
