date	time	animal_ID	experiment_day	treatment	behavior_notes	number_twisted_arms	uneven_turgor	stretched	number_arms_dropped	initials	heat-killed_inoculate	unfiltered_live_inoculate	dead	censored	notes																											
10/14/21	909	E07	9	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/14/21	1641	E07	9	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	909	E07	10	control	NS/RS/B corner	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/15/21	1641	E07	10	control	FS	0	N	N	0	"GC, MW"	NA	NA	0	0	arms curled back @ surface																											
10/16/21	908	E07	11	control	FS/RS small moound; moving	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1601	E07	11	control	NS/RS/surface corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/17/21	906	E07	12	control	NS/RS surface	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1630	E07	12	control	B/RS/NS corner	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	913	E07	13	control	B/RS	0	N	N	0	GC	NA	NA	0	0	full paired sampling with H7																											
10/18/21	1000-1200	E07	13	control	NA	0	N	N	0	AG	NA	NA	0	1	alive at end of experiment																											
10/5/21	912	E10	0	control	B	0	N	N	0	AG	yes	NA	0	0																												
10/5/21	1707	E10	0	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	921	E10	1	control	B/FS	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1659	E10	1	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	939	E10	2	control	FS/B/RS	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/7/21	1639	E10	2	control	FS/B	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/8/21	922	E10	3	control	FS/B/surface	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1645	E10	3	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1014	E10	4	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1657	E10	4	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	907	E10	5	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1651	E10	5	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	920	E10	6	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1658	E10	6	control	FS/surface	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	901	E10	7	control	B	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1657	E10	7	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	917	E10	8	control	FS/B/surface	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1647	E10	8	control	FS/B/surface	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/14/21	911	E10	9	control	FS/B/surface	0	N	N	0	GC	NA	NA	0	0																												
10/14/21	1643	E10	9	control	FS/B/surface	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	911	E10	10	control	B	0	N	N	0	"GC, AG"	NA	NA	0	0	arms arched																											
10/15/21	1643	E10	10	control	B/FS/LS corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/16/21	910	E10	11	control	B/LS/FS	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1604	E10	11	control	B	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/17/21	908	E10	12	control	B	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1632	E10	12	control	B/FS/RS corner	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	916	E10	13	control	B/FS	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/18/21	100-1200	E10	13	control	NA	0	N	N	0	AG	NA	NA	0	1																												
10/5/21	912	E11	0	control	NS/LS/ surface corner	0	N	N	0	AG	yes	NA	0	0																												
10/5/21	1709	E11	0	control	NS/LS/surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	921	E11	1	control	FS/B	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1700	E11	1	control	FS/B	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	930	E11	2	control	NS/B	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/7/21	1639	E11	2	control	NS/B	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/8/21	923	E11	3	control	NS/LS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1645	E11	3	control	NS/LS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1017	E11	4	control	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1658	E11	4	control	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	908	E11	5	control	NS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1651	E11	5	control	NS/RS/corner	0	N	N	0	GC	NA	NA	0	0	mounded																											
10/11/21	920	E11	6	control	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1659	E11	6	control	FS/RS/surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	902	E11	7	control	NS/RS/surface corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1657	E11	7	control	NS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	918	E11	8	control	FS/LS/surface corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1649	E11	8	control	FS/LS/surface corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/14/21	911	E11	9	control	FS/LS/B corner	0	N	N	0	GC	NA	NA	0	0	paired with H11																											
10/14/21	1643	E11	9	control	FS/RS/corner surface	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	911	E11	10	control	FS/LS/surface corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/15/21	1644	E11	10	control	NS/LS/surface corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/16/21	910	E11	11	control	NS/RS/ corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1605	E11	11	control	NS/RS/surface corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/17/21	908	E11	12	control	NS/RS/surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1634	E11	12	control	NS/RS/B corner	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	916	E11	13	control	NS/RS/B corner	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/18/21	1000-1200	E11	13	control	NA	0	N	N	0	AG	NA	NA	0	1																												
10/5/21	911	E09	0	control	FS/RS/B corner	0	N	N	0	AG	yes	NA	0	0																												
10/5/21	1706	E09	0	control	FS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	920	E09	1	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1658	E09	1	control	NS/RS	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	937	E09	2	control	B/RS/NS corner	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/7/21	1638	E09	2	control	NS/RS/B corner	0	N	N	0	"AG, GC"	NA	NA	0	0	small mound																											
10/8/21	922	E09	3	control	NS/LS	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1644	E09	3	control	NS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1011	E09	4	control	FS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1657	E09	4	control	FS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	907	E09	5	control	NS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1650	E09	5	control	NS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	919	E09	6	control	FS/B/R corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1657	E09	6	control	FS/RS corner surface	0	N	N	0	GC	NA	NA	0	0	some arms 'curly'																											
10/12/21	901	E09	7	control	NS/LSB corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1657	E09	7	control	NS/LS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	916	E09	8	control	NS/LS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1646	E09	8	control	NS/LS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/14/21	910	E09	9	control	FS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/14/21	1642	E09	9	control	FS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	910	E09	10	control	NS/RS/B corner	0	N	N	0	GC. AG	NA	NA	0	0	paired sampling with H9																											
10/15/21	1643	E09	10	control	FS/LS corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/16/21	909	E09	11	control	FS/RS corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1603	E09	11	control	NS/LS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0	one arm crossed over wound																											
10/17/21	908	E09	12	control	FS/LS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1632	E09	12	control	B/NS/RS corner	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	915	E09	13	control	NS/LS/B corner	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/18/21	1000-1200	E09	13	control	NA	0	N	N	0	AG	NA	NA	0	1	alive at end of experiment																											
10/5/21	911	E18	0	control	NS/LS/corner	0	N	N	0	AG	yes	NA	0	0																												
10/5/21	1705	E18	0	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	920	E18	1	control	LS/B/corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1658	E18	1	control	LS/NS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	934	E18	2	control	LS/NS corner	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/7/21	1637	E18	2	control	NS/B	0	Y	N	0	"AG, GC"	NA	NA	0	0	one inflated arm																											
10/8/21	921	E18	3	control	NS/RS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1644	E18	3	control	RS/NS/ corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1006	E18	4	control	NS	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1656	E18	4	control	NS/LS moving	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	906	E18	5	control	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1650	E18	5	control	RS	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	919	E18	6	control	NS/surface	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1656	E18	6	control	NS/RS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	910	E18	7	control	NS/RS/corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1656	E18	7	control	FS	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	916	E18	8	control	NS/RS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1643	E18	8	control	FS/RS/surface	0	N	N	0	"GC, MW"	NA	NA	0	0	arms arched back																											
10/14/21	910	E18	9	control	NS/B/RS corner	0	N	N	0	GC	NA	NA	0	0	paired with H18																											
10/14/21	1642	E18	9	control	NS/LS	0	N	N	0	GC	NA	NA	0	0	arms curled around wound																											
10/15/21	910	E18	10	control	NS/B	0	N	N	0	GC. AG	NA	NA	0	0	paired sampling with H18 - no arm or histo																											
10/15/21	1642	E18	10	control	NS/LS corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/16/21	909	E18	11	control	NS/LS corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1602	E18	11	control	NS/LS corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/17/21	907	E18	12	control	NS/LS corner	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1631	E18	12	control	LS/FS corner	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	914	E18	13	control	NS/RS/B corner	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/18/21	1000-1200	E18	13	control	NA	0	N	N	0	AG	NA	NA	0	1	alive at end of experiment																											
10/5/21	904	H03	0	control	NS/LS/B	0	N	N	0	GC	yes	NA	0	0																												
10/5/21	1712	H03	0	control	NS/B/surface	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	913	H03	1	control	FS/LS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1649	H03	1	control	FS/LS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	918	H03	2	control	B/NS/RS corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/7/21	1632	H03	2	control	RS/B	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/8/21	907	H03	3	control	RS/B	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1636	H03	3	control	FS/RS/B	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	947	H03	4	control	NS/LS/B	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1649	H03	4	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	901	H03	5	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1643	H03	5	control	NS/RS/ corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	908	H03	6	control	FS/RS/B	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1650	H03	6	control	FS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	857	H03	7	control	NS/LS/B	0	N	N	0	"AG, GC"	NA	NA	0	0																												
10/12/21	1648	H03	7	control	NS/LS/B	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	912	H03	8	control	NS/B	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1630	H03	8	control	B/FS/RS	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/14/21	905	H03	9	control	B/RS	0	N	N	0	GC	NA	NA	0	0																												
10/14/21	1637	H03	9	control	B/RS	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	905	H03	10	control	NS/RS/B	0	N	N	0	"GC, AG"	NA	NA	0	0	paired with H4																											
10/15/21	1637	H03	10	control	FS/LS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0	arm crossed over wound where we sampled arm earlier																											
10/16/21	904	H03	11	control	B/NS very mounded	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1557	H03	11	control	FS/LS/B corner	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/17/21	902	H03	12	control	NS/LS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1625	H03	12	control	B mounded	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	909	H03	13	control	NS/B/ L corner	0	N	N	0	GC	NA	NA	0	0																												
10/18/21	1000-1200	H03	13	control	NA	0	N	N	0		NA	NA	0	1																												
10/5/21	904	H01	0	exposed	FS/LS corner	0	N	N	0	GC	NA	yes	0	0																												
10/5/21	1724	H01	0	exposed	FS/RS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	928	H01	1	exposed	B	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1711	H01	1	exposed	B/FS	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	1009	H01	2	exposed	FS/B/RS	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/7/21	1646	H01	2	exposed	FS/B	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/8/21	930	H01	3	exposed	NS/B surface	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/8/21	1655	H01	3	exposed	NS/ surface	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1041	H01	4	exposed	FS/B	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1711	H01	4	exposed	FS/B	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	914	H01	5	exposed	NS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1702	H01	5	exposed	NS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	959	H01	6	exposed	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1709	H01	6	exposed	LS/surface/ B	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	910	H01	7	exposed	FS/B/ surface	0	Y	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1707	H01	7	exposed	FS/B	1	N	N	0	GC	NA	NA	0	0	"very twisty, no count on twisted arms"																											
10/13/21	927	H01	8	exposed	B/RS	0	N	Y	0	"GC, MW"	NA	NA	0	0	"smelly when tub opened, half of the arms stretched"																											
10/13/21	1706	H01	8	exposed	RS/sruface	0	Y	Y	0	"GC, MW"	NA	NA	0	0	"tub is smelly; very stretchy, uneven inflation (bulged arms)"																											
10/14/21	921	H01	9	exposed	FS/RS surface	0	Y	Y	0	GC	NA	NA	0	0	paired sample with H5 --> smelly																											
10/14/21	1653	H01	9	exposed	FS/ upside-down @ surface	1	N	N	0	GC	NA	NA	0	0																												
10/15/21	920	H01	10	exposed	FS/LS surface	0	N	Y	5	"GC, AG"	NA	NA	0	0	foam on surface; all remaining arms stretched																											
10/15/21	1653	H01	10	exposed	LS	0	N	N	1	"GC, MW"	NA	NA	0	0	dropped arm removed & put in autoclave bag; lesions in all armpits																											
10/16/21	918	H01	11	exposed	NA	NA	NA	NA	NA	"GC, AG"	NA	NA	1	0	no arms on central disc																											
10/5/21	905	H04	11	exposed	FS/RS/ corner	0	N	N	0	GC	NA	yes	0	0																												
10/5/21	1726	H04	0	exposed	FS/RS/corner	3	N	N	0	GC	NA	NA	0	0	arms curling																											
10/6/21	929	H04	0	exposed	NS/LS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1711	H04	1	exposed	NS/LS/corner	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	1010	H04	1	exposed	NS/LS/corner; small mound	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/7/21	1646	H04	2	exposed	NS/LS/ corner	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/8/21	930	H04	2	exposed	FS/RS	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/8/21	1656	H04	3	exposed	FS/RS	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1044	H04	3	exposed	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1712	H04	4	exposed	FS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	914	H04	4	exposed	FS/RS/surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1703	H04	5	exposed	FS/RS/ surface corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	959	H04	5	exposed	NS/RS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1710	H04	6	exposed	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	910	H04	6	exposed	NS/RS/corner	10	N	N	0	"GC, AG"	NA	NA	0	0																												
10/12/21	1708	H04	7	exposed	FS/RS/corner	5	N	N	0	GC	NA	NA	0	0																												
10/13/21	928	H04	7	exposed	NS/LS/surface	8	N	Y	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1708	H04	8	exposed	FS/RS	8	Y	N	0	"GC, MW"	NA	NA	0	0	"very curled, looks deflated"																											
10/14/21	922	H04	8	exposed	FS/RS/ surface	12	N	Y	0	GC	NA	NA	0	0	"stretching, twisty, partially upside-down"																											
10/14/21	1654	H04	9	exposed	NS/B	0	Y	Y	0	GC	NA	NA	0	0	very deflated and stretchong																											
10/15/21	921	H04	9	exposed	FS/LS/ B corner	20	N	N	4	"GC, AG"	NA	NA	0	0	4 arms lost; remaining arms twisted																											
10/15/21	1654	H04	10	exposed	NS	0	N	N	7	"GC, MW"	NA	NA	0	0	"7 arms lost, 3 arms left --> dropped arms put in autoclave bag"																											
10/16/21	919	H04	10	exposed	NA	NA	NA	NA	NA	"GC, AG"	NA	NA	1	0	all arms off centrral disc																											
10/5/21	906	H05	0	control	NS/B/LS	0	N	N	0	GC	yes	NA	0	0																												
10/5/21	1714	H05	0	control	FS/B/RS	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	914	H05	1	control	FS/ surface moving	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1651	H05	1	control	RS/B/ surface	0	Y	N	0	GC	NA	NA	0	0	2 arms over-inflated																											
10/7/21	929	H05	2	control	LS/B	0	N	N	0	GC	NA	NA	0	0																												
10/7/21	1632	H05	2	control	NS/LS/B	0	N	N	0	GC	NA	NA	0	0	air off since AM check --> turned back on																											
10/8/21	908	H05	3	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/8/21	1637	H05	3	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	949	H05	4	control	NS/ surface	0	N	N	0	GC	NA	NA	0	0																												
10/9/21	1650	H05	4	control	NS/ surface	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	902	H05	5	control	NS/LS/B/surface	0	N	N	0	GC	NA	NA	0	0																												
10/10/21	1644	H05	5	control	NS/LS/B corner	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	909	H05	6	control	NS/ surface	0	N	N	0	GC	NA	NA	0	0																												
10/11/21	1651	H05	6	control	NS/B/surface	0	N	N	0	GC	NA	NA	0	0																												
10/12/21	857	H05	7	control	RS/NS/surface	0	Y	N	0	"GC, AG"	NA	NA	0	0	one arm inflated																											
10/12/21	1649	H05	7	control	NS/RS/surface	0	N	N	0	GC	NA	NA	0	0																												
10/13/21	912	H05	8	control	FS/B; mounded	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/13/21	1632	H05	8	control	FS/B	0	N	N	0	"GC, MW"	NA	NA	0	0	very bulged/mounded; pink bubbles @ surface																											
10/14/21	906	H05	9	control	FS/B	0	N	N	0	GC	NA	NA	0	0	paired sample with H1																											
10/14/21	1638	H05	9	control	NS/RS/ surface	0	N	N	0	GC	NA	NA	0	0																												
10/15/21	906	H05	10	control	FS/B mounded	0	N	N	0	"GC, AG"	NA	NA	0	0	no arm sample or histo																											
10/15/21	1638	H05	10	control	NS/ B	0	N	N	0	"GC, MW"	NA	NA	0	0																												
10/16/21	906	H05	11	control	B/RS	0	N	N	0	"GC, AG"	NA	NA	0	0																												
10/16/21	1557	H05	11	control	B/FS/RS	0	N	N	0	"GC, MW"	NA	NA	0	0	small amount of tisue floating (likely from arm dissection)																											
10/17/21	902	H05	12	control	B/RS mounded	0	N	N	0	GC	NA	NA	0	0																												
10/17/21	1625	H05	12	control	B mounded	0	N	N	0	AG	NA	NA	0	0																												
10/18/21	910	H05	13	control	NS/B	0	N	N	0	GC	NA	NA	0	0																												
10/18/21	1000-1200	H05	13	control	NA	0	N	N	0		NA	NA	0	1																												
10/5/21	900	H06	0	exposed	B / FS / LS	0	N	N	0	GC	NA	yes	0	0																												
10/5/21	1716	H06	0	exposed	NS / B	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	925	H06	1	exposed	NS / B	0	N	N	0	GC	NA	NA	0	0																												
10/6/21	1705	H06	1	exposed	NS / B	0	N	N	0	GC	NA	NA	0	0																												
